from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246109524611754+1789583+1,246109524611754+1789233+1,1,
33,33,,,246100624610063+1789584+1,246100624610063+1789234+1,1,
33,33,,,246096224610001+1789597+1,246096224610001+1789240+1,1,
33,33,,,246101124610283+1789597+1,246101124610283+1789240+1,1,
33,33,,,246109524611752+1789597+1,246109524611752+1789240+1,1,
33,33,,,246103224610412+1789612+1,246103224610342+1789261+1,1,
33,33,,,246100424610051+1789617+1,246100424610051+1789291+1,1,
33,33,,,246109524611752+1789617+1,246109524611752+1789291+1,1,
33,33,,,246103224610412+1789619+1,246103224610412+1789292+1,1,
33,33,,,246096424609654+1789646+1,246096224610004+1789309+1,1,
33,33,,,246106124610633+1789646+1,246106124610633+1789309+1,1,
33,33,,,246108924610912+1789646+1,246108924610912+1789309+1,1,
33,33,,,246109524611753+1789646+1,246109524611753+1789309+1,1,
33,33,,,246104624610563+1789666+1,246104624610563+1789319+1,1,
33,33,,,246106124610634+1789666+1,246106124610634+1789319+1,1,
33,33,,,246106724610842+1789666+1,246106724610842+1789319+1,1,
33,33,,,246109524611753+1789666+1,246109524611753+1789319+1,1,
33,33,,,246096224609632+1789672+1,246096224610002+1789323+1,1,
33,33,,,246104624610564+1789673+1,246104624610564+1789323+1,1,
33,33,,,246108924610913+1789673+1,246108924610913+1789323+1,1,
33,33,,,246095924609595+1789682+1,246095924609595+1789342+1,1,
33,33,,,246096224609631+1789683+1,246096224610001+1789343+1,1,
33,33,,,246096224609632+1789683+1,246096224610002+1789343+1,1,
33,33,,,246104624610563+1789684+1,246104624610563+1789343+1,1,
33,33,,,246104624610564+1789684+1,246104624610564+1789343+1,1,
33,33,,,246106724610842+1789684+1,246106724610842+1789343+1,1,
33,33,,,246096924610002+1789695+1,246096924610002+1789353+1,1,
33,33,,,246104624610562+1789695+1,246104624610562+1789353+1,1,
33,33,,,246108924610913+1789695+1,246108924610913+1789353+1,1,
33,33,,,246109524611753+1789695+1,246109524611753+1789353+1,1,
33,33,,,246103224610412+1789696+1,246103224610412+1789355+1,1,
33,33,,,246106724610843+1789704+0,246106724610843+1787202+0,1,
33,33,,,246108924610914+1789704+0,246108924610914+1787202+0,1,
33,33,,,246100624610063+1789706+0,246100624610063+1787204+0,1,
33,33,,,246096424609653+1789710+0,246096424609653+1789368+0,1,
33,33,,,246096924610004+1789710+0,246096924610004+1789368+0,1,
33,33,,,246101124610281+1789710+0,246101124610281+1789368+0,1,
33,33,,,246106124610633+1789710+0,246106124610633+1789368+0,1,
33,33,,,246101524611765+1789712+0,246101524611765+1789369+0,1,
33,33,,,246095924610015+1789723+0,246095924609595+1789382+0,1,
33,33,,,246096424609653+1789725+0,246096424609653+1789384+0,1,
33,33,,,246104624610564+1789725+0,246104624610564+1789384+0,1,
33,33,,,246106124610634+1789725+0,246106124610634+1789384+0,1,
33,33,,,246106724610843+1789725+0,246106724610843+1789384+0,1,
33,33,,,246106724610844+1789725+0,246106724610844+1789384+0,1,
33,33,,,246109524611753+1789725+0,246109524611753+1789384+0,1,
33,33,,,246096924610004+1789740+0,246096924610004+1789395+0,1,
33,33,,,246100424610051+1789740+0,246100424610051+1789395+0,1,
33,33,,,246100424610052+1789740+0,246100424610052+1789395+0,1,
33,33,,,246106124610634+1789740+0,246106124610634+1789395+0,1,
33,33,,,246108924610913+1789740+0,246108924610913+1789395+0,1,
33,33,,,246109524611751+1789740+0,246109524611751+1789395+0,1,
33,33,,,246109524611752+1789740+0,246109524611752+1789395+0,1,
33,33,,,246096224609631+1789755+0,246096224610001+1789408+0,1,
33,33,,,246101124610282+1789756+0,246101124610282+1789408+0,1,
33,33,,,246104624610563+1789756+0,246104624610563+1789408+0,1,
33,33,,,246096924610004+1789762+0,246096224610004+1789419+0,1,
33,33,,,246106724610841+1789762+0,246106724610841+1789419+0,1,
33,33,,,246108924610914+1789762+0,246108924610914+1789419+0,1,
33,33,,,246100624610063+1789764+0,246100624610063+1789421+0,1,
33,33,,,246101124610283+1789776+0,246101124610283+1789435+0,1,
33,33,,,246101124610284+1789776+0,246101124610284+1789435+0,1,
33,33,,,246104624610562+1789776+0,246104624610562+1789435+0,1,
33,33,,,246104624610564+1789776+0,246104624610564+1789435+0,1,
33,33,,,246108924610912+1789776+0,246108924610912+1789435+0,1,
33,33,,,246108924610914+1789776+0,246108924610914+1789435+0,1,
33,33,,,246100624610063+1789777+0,246100624610063+1789437+0,1,
33,33,,,246096224609632+1789785+0,246096224609632+1789453+0,1,
33,33,,,246100424610051+1789786+0,246100424610051+1789454+0,1,
33,33,,,246106124610632+1789786+0,246106124610632+1789454+0,1,
33,33,,,246106724610843+1789786+0,246106724610843+1789454+0,1,
33,33,,,246103224610412+1789788+0,246103224610412+1789456+0,1,
33,33,,,246096424609654+1789934+0,246096224610004+1789468+0,1,
33,33,,,246100424610052+1789934+0,246100424610052+1789468+0,1,
33,33,,,246101124610284+1789934+0,246101124610284+1789468+0,1,
33,33,,,246104624610561+1789934+0,246104624610561+1789468+0,1,
33,33,,,246104624610564+1789934+0,246104624610564+1789468+0,1,
33,33,,,246109524611751+1789934+0,246109524611751+1789468+0,1,
33,33,,,246109524611752+1789934+0,246109524611752+1789468+0,1,
33,33,,,246096624610015+1789935+0,246095924610015+1789467+0,1,
33,33,,,246096924610002+1790024+0,246096924610002+1789477+0,1,
33,33,,,246101124610284+1790024+0,246101124610284+1789477+0,1,
33,33,,,246104624610561+1790024+0,246104624610561+1789477+0,1,
33,33,,,246104624610562+1790024+0,246104624610562+1789477+0,1,
33,33,,,246106724610843+1790024+0,246106724610843+1789477+0,1,
33,33,,,246108924610913+1790024+0,246108924610913+1789477+0,1,
33,33,,,246109524611754+1790024+0,246109524611754+1789477+0,1,
33,33,,,246104624610561+1790081+0,246104624610561+1789485+0,1,
33,33,,,246104624610562+1790081+0,246104624610562+1789485+0,1,
33,33,,,246106724610843+1790081+0,246106724610843+1789485+0,1,
33,33,,,246108924610913+1790081+0,246108924610913+1789485+0,1,
33,33,,,246095924609595+1790097+0,246095924609595+1789487+0,1,
33,33,,,246101124610283+1790098+0,246101124610283+1789488+0,1,
33,33,,,246104624610561+1790098+0,246104624610561+1789488+0,1,
33,33,,,246106724610841+1790098+0,246106724610841+1789488+0,1,
33,33,,,246106724610843+1790098+0,246106724610843+1789488+0,1,
33,33,,,246108924610914+1790098+0,246108924610914+1789488+0,1,
33,33,,,246103224610412+1790100+0,246103224610412+1789490+0,1,
33,33,,,246100724610096+1790134+0,246100724610096+1789829+0,1,
33,33,,,246101624610306+1790142+0,246101624610306+1789842+0,1,
33,33,,,246106024610656+1790142+0,246106024610656+1789842+0,1,
33,33,,,246107224610866+1790142+0,246107224610866+1789842+0,1,
33,33,,,246095924610015+1790148+0,246095924610015+1789496+0,1,
33,33,,,246106724610841+1790150+0,246106724610841+1789498+0,1,
33,33,,,246096424609654+1790150+0,246096424609654+1789498+0,1,
33,33,,,246100724610096+1790155+0,246100724610096+1789856+0,1,
33,33,,,246103524610446+1790155+0,246103524610446+1789856+0,1,
33,33,,,246105124610586+1790155+0,246105124610586+1789856+0,1,
33,33,,,246108824610931+1790155+0,246108824610931+1789856+0,1,
33,33,,,246099524610026+1790165+0,246099524610026+1789870+0,1,
33,33,,,246100724610095+1790165+0,246100724610095+1789870+0,1,
33,33,,,246105124610586+1790165+0,246105124610586+1789870+0,1,
33,33,,,246103524610446+1790189+0,246103524610446+1789902+0,1,
33,33,,,246101624610306+1790197+0,246101624610306+1789918+0,1,
33,33,,,246103524610446+1790197+0,246103524610446+1789918+0,1,
33,33,,,246103524610444+1790205+0,246103524610444+1789940+0,1,
33,33,,,246106024610651+1790205+0,246106024610651+1789940+0,1,
33,33,,,246108824610936+1790205+0,246108824610936+1789940+0,1,
33,33,,,246110024611776+1790205+0,246110024611776+1789940+0,1,
33,33,,,246105124610586+1790215+0,246105124610586+1789956+0,1,
33,33,,,246106024610656+1790215+0,246106024610656+1789956+0,1,
33,33,,,246099624611717+1790216+0,246099624611717+1789957+0,1,
33,33,,,246100724610096+1790231+0,246100724610096+1789972+0,1,
33,33,,,246106024610656+1790231+0,246106024610656+1789972+0,1,
33,33,,,246096124609897+1790242+0,246096124609897+1789991+0,1,
33,33,,,246100724610094+1790243+0,246100724610094+1789992+0,1,
33,33,,,246101624610306+1790243+0,246101624610306+1789992+0,1,
33,33,,,246106024610651+1790243+0,246106024610651+1789992+0,1,
33,33,,,246096124609897+1790250+0,246096124609897+1790007+0,1,
33,33,,,246103524610446+1790251+0,246103524610446+1790008+0,1,
33,33,,,246105124610586+1790251+0,246105124610586+1790008+0,1,
33,33,,,246106024610656+1790251+0,246106024610656+1790008+0,1,
33,33,,,246100424610052+1790259+0,246100424610052+1789511+0,1,
33,33,,,246101124610281+1790259+0,246101124610281+1789511+0,1,
33,33,,,246106124610632+1790259+0,246106124610632+1789511+0,1,
33,33,,,246106124610633+1790259+0,246106124610633+1789511+0,1,
33,33,,,246099524610026+1790265+0,246099524610026+1790029+0,1,
33,33,,,246100724610094+1790265+0,246100724610094+1790029+0,1,
33,33,,,246108824610931+1790265+0,246108824610931+1790029+0,1,
33,33,,,246096124609897+1790272+0,246096124609897+1790044+0,1,
33,33,,,246096024609886+1790279+0,246096024609886+1790055+0,1,
33,33,,,246099524610026+1790281+0,246099524610026+1790057+0,1,
33,33,,,246108824610936+1790281+0,246108824610936+1790057+0,1,
33,33,,,246100724610094+1790294+0,246100724610094+1790073+0,1,
33,33,,,246100724610096+1790294+0,246100724610096+1790073+0,1,
33,33,,,246105124610586+1790294+0,246105124610586+1790073+0,1,
33,33,,,246099624611717+1790295+0,246099624611717+1790074+0,1,
33,33,,,246096124609897+1790297+0,246096124609897+1790076+0,1,
33,33,,,246104624610562+1790310+0,246104624610562+1789527+0,1,
33,33,,,246104624610564+1790310+0,246104624610564+1789527+0,1,
33,33,,,246106124610632+1790310+0,246106124610632+1789527+0,1,
33,33,,,246108924610914+1790310+0,246108924610914+1789527+0,1,
33,33,,,246101524611765+1790312+0,246101524611765+1789526+0,1,
33,33,,,246096224610003+1790317+0,246096224610003+1789537+0,1,
33,33,,,246096224610004+1790317+0,246096224610004+1789537+0,1,
33,33,,,246104624610561+1790317+0,246104624610561+1789537+0,1,
33,33,,,246106124610634+1790317+0,246106124610634+1789537+0,1,
33,33,,,246106724610842+1790317+0,246106724610842+1789537+0,1,
33,33,,,246108924610913+1790317+0,246108924610913+1789537+0,1,
33,33,,,246109524611751+1790317+0,246109524611751+1789537+0,1,
33,33,,,246109524611752+1790317+0,246109524611752+1789537+0,1,
33,33,,,246100624610063+1790319+0,246100624610063+1789539+0,1,
33,33,,,246095924610015+1790321+0,246095924609595+1789544+0,1,
33,33,,,246101124610282+1790322+0,246101124610282+1789545+0,1,
33,33,,,246104624610562+1790322+0,246104624610562+1789545+0,1,
33,33,,,246109524611751+1790322+0,246109524611751+1789545+0,1,
33,33,,,246109524611752+1790322+0,246109524611752+1789545+0,1,
33,33,,,246103224610411+1790323+0,246103224610411+1789547+0,1,
33,33,,,246101124610282+1790330+0,246101124610282+1789554+0,1,
33,33,,,246106124610633+1790330+0,246106124610633+1789554+0,1,
33,33,,,246106124610634+1790330+0,246106124610634+1789554+0,1,
33,33,,,246106724610841+1790330+0,246106724610841+1789554+0,1,
33,33,,,246103224610411+1790331+0,246103224610411+1789556+0,1,
33,33,,,246101524611765+1790335+0,246106024610656+1790089+0,1,
33,33,,,246101124610284+1790336+0,246101524610295+1789560+0,1,
33,33,,,246101124610283+1789569+0,246101124610283+1789206+1,1,
33,33,,,246104624610564+1789569+0,246104624610564+1789206+1,1,
33,33,,,246096224610003+1789583+1,246096224610003+1789233+1,1,
33,33,,,246100424610051+1789583+1,246100424610051+1789233+1,1,
33,33,,,246104624610563+1789583+1,246104624610563+1789233+1,1,
33,33,,,246106124610633+1789583+1,246106124610633+1789233+1,1,
33,33,,,246108924610913+1789583+1,246108924610913+1789233+1,1,
33,33,,,246108924610914+1789583+1,246108924610914+1789233+1,1,
33,33,,,246109524611751+1789583+1,246109524611751+1789233+1,1,
33,33,,,246095924609595+1789596+1,246095924610015+1789246+1,1,
33,33,,,246096224610004+1789597+1,246096224610004+1789240+1,1,
33,33,,,246100424610051+1789597+1,246100424610051+1789240+1,1,
33,33,,,246101124610284+1789597+1,246101124610284+1789240+1,1,
33,33,,,246104624610564+1789597+1,246104624610564+1789240+1,1,
33,33,,,246109524611751+1789597+1,246109524611751+1789240+1,1,
33,33,,,246103224610411+1789600+1,246103924610401+1789241+1,1,
33,33,,,246103224610412+1789600+1,246103924610402+1789241+1,1,
33,33,,,246103224610411+1789612+1,246103224610341+1789261+1,1,
33,33,,,246103224610411+1789612+1,246103924610401+1789261+1,1,
33,33,,,246104624610563+1789617+1,246104624610563+1789291+1,1,
33,33,,,246104624610564+1789617+1,246104624610564+1789291+1,1,
33,33,,,246106124610634+1789617+1,246106124610634+1789291+1,1,
33,33,,,246106724610842+1789617+1,246106724610842+1789291+1,1,
33,33,,,246108924610912+1789617+1,246108924610912+1789291+1,1,
33,33,,,246109524611751+1789617+1,246109524611751+1789291+1,1,
33,33,,,246096624610015+1789618+1,246095924610015+1789289+1,1,
33,33,,,246096224609631+1789645+1,246096224610001+1789309+1,1,
33,33,,,246096224609632+1789645+1,246096224610002+1789309+1,1,
33,33,,,246096924610002+1789646+1,246096224610002+1789309+1,1,
33,33,,,246096924610004+1789646+1,246096224610004+1789309+1,1,
33,33,,,246101124610281+1789646+1,246101124610281+1789309+1,1,
33,33,,,246101124610282+1789646+1,246101124610282+1789309+1,1,
33,33,,,246101124610284+1789646+1,246101124610284+1789309+1,1,
33,33,,,246109524611752+1789646+1,246109524611752+1789309+1,1,
33,33,,,246109524611754+1789646+1,246109524611754+1789309+1,1,
33,33,,,246095924609595+1789659+1,246095924609595+1789317+1,1,
33,33,,,246101124610282+1789666+1,246101124610282+1789319+1,1,
33,33,,,246108924610912+1789666+1,246108924610912+1789319+1,1,
33,33,,,246096924610002+1789673+1,246096224610002+1789323+1,1,
33,33,,,246096924610003+1789673+1,246096224610003+1789323+1,1,
33,33,,,246100424610051+1789673+1,246100424610051+1789323+1,1,
33,33,,,246106124610633+1789673+1,246106124610633+1789323+1,1,
33,33,,,246106124610634+1789673+1,246106124610634+1789323+1,1,
33,33,,,246106724610842+1789673+1,246106724610842+1789323+1,1,
33,33,,,246108924610912+1789673+1,246108924610912+1789323+1,1,
33,33,,,246096624610015+1789674+1,246096624610015+1789324+1,1,
33,33,,,246103224610411+1789677+1,246103924610401+1789325+1,1,
33,33,,,246096924610004+1789684+1,246096224610004+1789343+1,1,
33,33,,,246101124610282+1789684+1,246101124610282+1789343+1,1,
33,33,,,246100624610063+1789686+1,246100624610063+1789345+1,1,
33,33,,,246096924610003+1789695+1,246096924610003+1789353+1,1,
33,33,,,246096924610004+1789695+1,246096924610004+1789353+1,1,
33,33,,,246100424610052+1789695+1,246100424610052+1789353+1,1,
33,33,,,246109524611752+1789695+1,246109524611752+1789353+1,1,
33,33,,,246103224610411+1789696+1,246103224610411+1789355+1,1,
33,33,,,246096924610001+1789704+0,246096924610001+1787202+0,1,
33,33,,,246108924610913+1789704+0,246108924610913+1787202+0,1,
33,33,,,246103224610342+1789706+0,246103224610412+1787204+0,1,
33,33,,,246096924610002+1789710+0,246096924610002+1789368+0,1,
33,33,,,246101124610282+1789710+0,246101124610282+1789368+0,1,
33,33,,,246104624610561+1789710+0,246104624610561+1789368+0,1,
33,33,,,246104624610564+1789710+0,246104624610564+1789368+0,1,
33,33,,,246103224610411+1789713+0,246103224610341+1789370+0,1,
33,33,,,246096924610002+1789725+0,246096924610002+1789384+0,1,
33,33,,,246100424610051+1789725+0,246100424610051+1789384+0,1,
33,33,,,246101124610282+1789725+0,246101124610282+1789384+0,1,
33,33,,,246103224610412+1789726+0,246103224610412+1789386+0,1,
33,33,,,246096424609653+1789740+0,246096424609653+1789395+0,1,
33,33,,,246096924610001+1789740+0,246096924610001+1789395+0,1,
33,33,,,246101124610284+1789740+0,246101124610284+1789395+0,1,
33,33,,,246106724610842+1789740+0,246106724610842+1789395+0,1,
33,33,,,246108924610912+1789740+0,246108924610912+1789395+0,1,
33,33,,,246096424609653+1789756+0,246096224610003+1789408+0,1,
33,33,,,246101124610281+1789756+0,246101124610281+1789408+0,1,
33,33,,,246109524611754+1789756+0,246109524611754+1789408+0,1,
33,33,,,246106124610634+1789756+0,246106124610634+1789408+0,1,
33,33,,,246106724610843+1789756+0,246106724610843+1789408+0,1,
33,33,,,246101524611765+1789759+0,246101524611765+1789407+0,1,
33,33,,,246096424609653+1789762+0,246096224610003+1789419+0,1,
33,33,,,246096424609654+1789762+0,246096224610004+1789419+0,1,
33,33,,,246096924610003+1789762+0,246096224610003+1789419+0,1,
33,33,,,246104624610562+1789762+0,246104624610562+1789419+0,1,
33,33,,,246106724610844+1789762+0,246106724610844+1789419+0,1,
33,33,,,246108924610913+1789762+0,246108924610913+1789419+0,1,
33,33,,,246109524611753+1789762+0,246109524611753+1789419+0,1,
33,33,,,246096624610015+1789763+0,246096624610015+1789420+0,1,
33,33,,,246096224609632+1789775+0,246096224609632+1789434+0,1,
33,33,,,246096924610002+1789776+0,246096924610002+1789435+0,1,
33,33,,,246100424610051+1789776+0,246100424610051+1789435+0,1,
33,33,,,246106124610633+1789776+0,246106124610633+1789435+0,1,
33,33,,,246106724610841+1789776+0,246106724610841+1789435+0,1,
33,33,,,246106724610842+1789776+0,246106724610842+1789435+0,1,
33,33,,,246106724610844+1789776+0,246106724610844+1789435+0,1,
33,33,,,246109524611752+1789776+0,246109524611752+1789435+0,1,
33,33,,,246096424609654+1789786+0,246096424609654+1789454+0,1,
33,33,,,246104624610561+1789786+0,246104624610561+1789454+0,1,
33,33,,,246108924610912+1789786+0,246108924610912+1789454+0,1,
33,33,,,246096224609631+1789933+0,246096224610001+1789468+0,1,
33,33,,,246104624610562+1789934+0,246104624610562+1789468+0,1,
33,33,,,246104624610563+1789934+0,246104624610563+1789468+0,1,
33,33,,,246106724610843+1789934+0,246106724610843+1789468+0,1,
33,33,,,246108924610913+1789934+0,246108924610913+1789468+0,1,
33,33,,,246103224610411+1789936+0,246103224610411+1789469+0,1,
33,33,,,246096224609631+1790023+0,246096224609631+1789476+0,1,
33,33,,,246108924610914+1790024+0,246108924610914+1789477+0,1,
33,33,,,246096924610002+1790081+0,246096224610002+1789485+0,1,
33,33,,,246106724610841+1790081+0,246106724610841+1789485+0,1,
33,33,,,246103224610411+1790082+0,246103224610411+1789486+0,1,
33,33,,,246103224610413+1790082+0,246103224610413+1789486+0,1,
33,33,,,246101524611765+1790083+0,246101524611765+1789484+0,1,
33,33,,,246096224610001+1790098+0,246096224610001+1789488+0,1,
33,33,,,246100424610052+1790098+0,246100424610052+1789488+0,1,
33,33,,,246109524611754+1790098+0,246109524611754+1789488+0,1,
33,33,,,246096024609886+1790107+0,246096024609886+1789799+0,1,
33,33,,,246101624610306+1790109+0,246101624610586+1789800+0,1,
33,33,,,246106024610656+1790109+0,246106024610656+1789800+0,1,
33,33,,,246106024610656+1790121+0,246106024610656+1789817+0,1,
33,33,,,246103524610444+1790134+0,246103524610444+1789829+0,1,
33,33,,,246110024611776+1790134+0,246110024611776+1789829+0,1,
33,33,,,246096124609897+1790141+0,246096124609897+1789841+0,1,
33,33,,,246100724610094+1790142+0,246100724610094+1789842+0,1,
33,33,,,246108824610936+1790142+0,246108824610936+1789842+0,1,
33,33,,,246104624610561+1790150+0,246104624610561+1789498+0,1,
33,33,,,246106124610634+1790150+0,246106124610634+1789498+0,1,
33,33,,,246096924610001+1790150+0,246096924610001+1789498+0,1,
33,33,,,246103224610412+1790151+0,246103224610412+1789499+0,1,
33,33,,,246099524610026+1790155+0,246099524610026+1789856+0,1,
33,33,,,246100724610094+1790155+0,246100724610094+1789856+0,1,
33,33,,,246100724610095+1790155+0,246100724610095+1789856+0,1,
33,33,,,246108824610936+1790155+0,246108824610936+1789856+0,1,
33,33,,,246101624610306+1790165+0,246101624610306+1789870+0,1,
33,33,,,246107224610866+1790165+0,246107224610866+1789870+0,1,
33,33,,,246101624610306+1790177+0,246101624610306+1789886+0,1,
33,33,,,246103524610446+1790177+0,246103524610446+1789886+0,1,
33,33,,,246106024610651+1790177+0,246106024610651+1789886+0,1,
33,33,,,246096024609886+1790187+0,246096024609886+1789900+0,1,
33,33,,,246100724610096+1790189+0,246100724610096+1789902+0,1,
33,33,,,246101624610306+1790189+0,246101624610306+1789902+0,1,
33,33,,,246099524610026+1790197+0,246099524610026+1789918+0,1,
33,33,,,246100724610095+1790197+0,246100724610095+1789918+0,1,
33,33,,,246106024610656+1790197+0,246106024610656+1789918+0,1,
33,33,,,246096124609897+1790204+0,246096124609897+1789939+0,1,
33,33,,,246099524610026+1790205+0,246099524610026+1789940+0,1,
33,33,,,246101624610306+1790215+0,246101624610306+1789956+0,1,
33,33,,,246103524610444+1790231+0,246103524610444+1789972+0,1,
33,33,,,246096024609886+1790241+0,246096024609886+1789990+0,1,
33,33,,,246099524610026+1790243+0,246099524610026+1789992+0,1,
33,33,,,246103524610446+1790243+0,246103524610446+1789992+0,1,
33,33,,,246106024610656+1790243+0,246106024610656+1789992+0,1,
33,33,,,246110024611776+1790243+0,246110024611776+1789992+0,1,
33,33,,,246099624611717+1790252+0,246099624611717+1790009+0,1,
33,33,,,246095924609595+1790257+0,246095924610015+1789510+0,1,
33,33,,,246096924610003+1790259+0,246096224610003+1789511+0,1,
33,33,,,246104624610564+1790259+0,246104624610564+1789511+0,1,
