from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246103924610402+1787018+1,246103924610402+1787026+1,1,
20,20,,,246101524611765+1787019+1,246101524611765+1787025+1,1,
20,20,,,246103224610342+1787018+1,246103224610342+1787026+1,1,
20,20,,,246103924610401+1787018+1,246103924610401+1787026+1,1,
20,20,,,246100624610063+1787018+1,246100624610063+1787026+1,1,
20,20,,,246096624610015+1787017+1,246096624610015+1787025+1,1,
20,20,,,246095924609595+1787015+1,246095924609595+1787022+1,1,
20,20,,,246103224610341+1787018+1,246103224610341+1787026+1,1,
20,20,,,246103224610343+1787018+1,246103224610343+1787026+1,1,
20,20,,,246095924609595+1787105+1,246095924609595+1787207+1,1,
20,20,,,246101124610282+1787107+1,246101124610282+1789417+1,1,
20,20,,,246101124610283+1787107+1,246101124610283+1789417+1,1,
20,20,,,246101124610284+1787107+1,246101124610284+1789417+1,1,
20,20,,,246106724610842+1787107+1,246106724610842+1789417+1,1,
20,20,,,246109524611752+1787107+1,246109524611752+1789417+1,1,
20,20,,,246109524611754+1787107+1,246109524611754+1789417+1,1,
20,20,,,246096924610004+1787107+1,246096924610004+1789417+1,1,
20,20,,,246104624610562+1787107+1,246104624610562+1789417+1,1,
20,20,,,246106124610634+1787107+1,246106124610634+1789417+1,1,
20,20,,,246108924610914+1787107+1,246108924610914+1789417+1,1,
20,20,,,246101524611765+1787108+1,246101524611765+1787208+1,1,
20,20,,,246096224609631+1787106+1,246096224609631+1789416+1,1,
20,20,,,246096424609654+1787107+1,246096424609654+1789417+1,1,
20,20,,,246104624610563+1787107+1,246104624610563+1789417+1,1,
20,20,,,246108924610912+1787107+1,246108924610912+1789417+1,1,
20,20,,,246106124610633+1787107+1,246106124610633+1789417+1,1,
20,20,,,246106724610844+1787107+1,246106724610844+1789417+1,1,
20,20,,,246109524611751+1787107+1,246109524611751+1789417+1,1,
20,20,,,246109524611753+1787107+1,246109524611753+1789417+1,1,
20,20,,,246096924610001+1787107+1,246096924610001+1789417+1,1,
20,20,,,246096924610003+1787107+1,246096924610003+1789417+1,1,
20,20,,,246104624610564+1787107+1,246104624610564+1789417+1,1,
20,20,,,246108924610913+1787107+1,246108924610913+1789417+1,1,
20,20,,,246096624610015+1787108+1,246096624610015+1787208+1,1,
20,20,,,246101124610281+1787107+1,246101124610281+1789417+1,1,
20,20,,,246104624610561+1787107+1,246104624610561+1789417+1,1,
20,20,,,246106124610632+1787107+1,246106124610632+1789417+1,1,
20,20,,,246106724610843+1787107+1,246106724610843+1789417+1,1,
20,20,,,246096224609632+1787106+1,246096224609632+1789416+1,1,
20,20,,,246096424609653+1787107+1,246096424609653+1789417+1,1,
20,20,,,246100624610063+1787109+1,246100624610063+1787209+1,1,
20,20,,,246096924610002+1787107+1,246096924610002+1789417+1,1,
20,20,,,246100424610051+1787107+1,246100424610051+1789417+1,1,
20,20,,,246100424610052+1787107+1,246100424610052+1789417+1,1,
20,20,,,246106724610841+1787107+1,246106724610841+1789417+1,1,
33,33,,,246100724610095+1790273+0,246100724610095+1790045+0,1,
33,33,,,246106024610656+1790273+0,246106024610656+1790045+0,1,
33,33,,,246108824610931+1790273+0,246108824610931+1790045+0,1,
33,33,,,246108824610936+1790273+0,246108824610936+1790045+0,1,
33,33,,,246101624610306+1790281+0,246101624610306+1790057+0,1,
33,33,,,246107224610866+1790281+0,246107224610866+1790057+0,1,
33,33,,,246096024609886+1790292+0,246096024609886+1790071+0,1,
33,33,,,246106024610656+1790294+0,246106024610656+1790073+0,1,
33,33,,,246100724610095+1790298+0,246100724610095+1790077+0,1,
33,33,,,246103524610444+1790298+0,246103524610444+1790077+0,1,
33,33,,,246103524610446+1790298+0,246103524610446+1790077+0,1,
33,33,,,246108824610936+1790298+0,246108824610936+1790077+0,1,
33,33,,,246096224610001+1790310+0,246096224610001+1789527+0,1,
33,33,,,246104624610563+1790310+0,246104624610563+1789527+0,1,
33,33,,,246106124610633+1790310+0,246106124610633+1789527+0,1,
33,33,,,246106124610634+1790310+0,246106124610634+1789527+0,1,
33,33,,,246108924610912+1790310+0,246108924610912+1789527+0,1,
33,33,,,246108924610913+1790310+0,246108924610913+1789527+0,1,
33,33,,,246100624610063+1790311+0,246100624610063+1789528+0,1,
33,33,,,246103224610411+1790311+0,246103224610341+1789528+0,1,
33,33,,,246103224610413+1790311+0,246103224610343+1789528+0,1,
33,33,,,246106724610843+1790317+0,246106724610843+1789537+0,1,
33,33,,,246101124610283+1790322+0,246101124610283+1789545+0,1,
33,33,,,246104624610561+1790322+0,246104624610561+1789545+0,1,
33,33,,,246106124610634+1790322+0,246106124610634+1789545+0,1,
33,33,,,246101124610281+1790330+0,246101124610281+1789554+0,1,
33,33,,,246104624610564+1790330+0,246104624610564+1789554+0,1,
33,33,,,246106724610843+1790330+0,246106724610843+1789554+0,1,
33,33,,,246108924610912+1790330+0,246108924610912+1789554+0,1,
33,33,,,246109524611752+1790330+0,246109524611752+1789554+0,1,
33,33,,,246096224610002+1790336+0,246096324610003+1789562+0,1,
33,33,,,246101124610282+1790336+0,246101224610283+1789562+0,1,
33,33,,,246106724610842+1790336+0,246106824610843+1789562+0,1,
33,33,,,246106724610843+1790336+0,246106824610844+1789562+0,1,
33,33,,,246108924610912+1790336+0,246109024610913+1789562+0,1,
33,33,,,246108924610914+1790336+0,246105024611765+1789560+0,1,
33,33,,,246109524611751+1790336+0,246109624611752+1789562+0,1,
33,33,,,246096224610003+1789569+0,246096224610003+1789206+1,1,
33,33,,,246104624610561+1789569+0,246104624610561+1789206+1,1,
33,33,,,246106724610843+1789569+0,246106724610843+1789206+1,1,
33,33,,,246106724610844+1789569+0,246106724610844+1789206+1,1,
33,33,,,246101524610295+1789570+0,246101524611765+1789205+1,1,
33,33,,,246096224610001+1789583+1,246096224610001+1789233+1,1,
33,33,,,246104624610564+1789583+1,246104624610564+1789233+1,1,
33,33,,,246106724610842+1789583+1,246106724610842+1789233+1,1,
33,33,,,246109524611752+1789583+1,246109524611752+1789233+1,1,
