total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,county,tract,year,dataset,fetched_date
4365,2390,1975,,1791,923,888,1667,1724,1705,19,739900,1542,193650,62661,499,2466,2466,2231,235,708,444,176,2180,247,1873,Census Tract 13.01; Westchester County; New York,36,119,001301,2022,acs/acs5,2025-10-13T11:21:08.326126
3923,1990,1933,,700,1038,55,2605,1643,1580,63,357900,1670,46063,35283,566,2347,2347,2257,90,313,244,1,2257,826,2231,Census Tract 13.02; Westchester County; New York,36,119,001302,2022,acs/acs5,2025-10-13T11:21:08.326136
3950,2199,1751,,914,1882,53,1866,1145,1128,17,,1695,72941,19745,1663,1730,1730,1661,69,241,170,0,1468,547,1380,Census Tract 13.04; Westchester County; New York,36,119,001304,2022,acs/acs5,2025-10-13T11:21:08.326146
3836,1902,1934,,485,681,139,2799,1235,1129,106,348000,1501,61411,25293,954,1873,1873,1708,165,435,6,9,1691,709,1603,Census Tract 13.05; Westchester County; New York,36,119,001305,2022,acs/acs5,2025-10-13T11:21:08.326155
4241,1916,2325,,2042,214,548,1474,1450,1352,98,653400,2414,141042,45915,523,1864,1864,1771,93,533,609,52,1705,159,1516,Census Tract 14.01; Westchester County; New York,36,119,001401,2022,acs/acs5,2025-10-13T11:21:08.326165
1494,704,790,,1252,49,97,248,657,642,15,579100,1210,107500,72965,85,755,755,744,11,302,225,19,707,151,612,Census Tract 14.02; Westchester County; New York,36,119,001402,2022,acs/acs5,2025-10-13T11:21:08.326175
2966,1579,1387,,2098,121,65,1356,1423,1423,0,295200,1593,79515,48056,522,1677,1677,1554,123,602,186,44,1554,210,1401,Census Tract 14.03; Westchester County; New York,36,119,001403,2022,acs/acs5,2025-10-13T11:21:08.326185
3317,1754,1563,,1983,257,251,958,1515,1430,85,,1585,97847,44469,236,1916,1916,1893,23,364,189,65,1893,715,1823,Census Tract 15.02; Westchester County; New York,36,119,001502,2022,acs/acs5,2025-10-13T11:21:08.326195
2453,1174,1279,,2119,59,42,453,1101,1040,61,504500,1709,77313,43066,236,1282,1282,1218,64,336,324,32,1204,332,1125,Census Tract 15.03; Westchester County; New York,36,119,001503,2022,acs/acs5,2025-10-13T11:21:08.326205
5446,2552,2894,,2864,808,317,1202,2100,2021,79,503200,1867,113143,38641,853,2621,2621,2515,106,620,440,105,2507,306,2229,Census Tract 15.04; Westchester County; New York,36,119,001504,2022,acs/acs5,2025-10-13T11:21:08.326214
2020,961,1059,,963,457,141,883,1023,964,59,212000,1836,101667,57323,90,1288,1288,1148,140,510,297,28,1127,187,922,Census Tract 15.05; Westchester County; New York,36,119,001505,2022,acs/acs5,2025-10-13T11:21:08.326224
4574,2535,2039,,1709,418,215,2630,1695,1659,36,471000,1780,62100,35858,482,2522,2522,2246,276,592,202,0,1886,336,1830,Census Tract 16; Westchester County; New York,36,119,001600,2022,acs/acs5,2025-10-13T11:21:08.326233
3384,1664,1720,,2045,131,307,1446,1151,1118,33,495100,1568,94894,34823,148,1717,1717,1698,19,174,263,0,1682,58,1503,Census Tract 17.01; Westchester County; New York,36,119,001701,2022,acs/acs5,2025-10-13T11:21:08.326243
2837,1362,1475,,2374,40,246,199,1268,1261,7,520800,1583,60673,50406,236,1478,1478,1464,14,777,185,0,1464,107,1307,Census Tract 17.02; Westchester County; New York,36,119,001702,2022,acs/acs5,2025-10-13T11:21:08.326253
1608,929,679,,179,1167,0,380,639,622,17,489300,976,97031,55745,118,985,985,874,111,272,152,23,874,50,772,Census Tract 18; Westchester County; New York,36,119,001800,2022,acs/acs5,2025-10-13T11:21:08.326263
1544,789,755,,845,213,182,343,597,580,17,508200,2232,130000,51878,63,791,791,783,8,242,162,0,746,63,654,Census Tract 19; Westchester County; New York,36,119,001900,2022,acs/acs5,2025-10-13T11:21:08.326273
4292,1955,2337,,2074,415,643,993,1524,1459,65,616700,1887,128250,50693,136,2147,2147,2081,66,807,390,81,1941,156,1826,Census Tract 20; Westchester County; New York,36,119,002000,2022,acs/acs5,2025-10-13T11:21:08.326283
4256,2180,2076,,1576,556,756,1371,1795,1664,131,587100,1880,84632,42853,69,2349,2349,2217,132,851,383,14,2112,219,1776,Census Tract 21.01; Westchester County; New York,36,119,002101,2022,acs/acs5,2025-10-13T11:21:08.326293
2907,1280,1627,,2696,0,0,415,1152,1049,103,770300,1583,171827,79426,79,1494,1494,1432,62,840,409,58,1354,411,1140,Census Tract 21.03; Westchester County; New York,36,119,002103,2022,acs/acs5,2025-10-13T11:21:08.326302
5923,2845,3078,,2277,957,390,2716,2255,2231,24,354400,1760,98911,49942,1100,3057,3057,3019,38,1314,634,132,3019,529,2755,Census Tract 21.04; Westchester County; New York,36,119,002104,2022,acs/acs5,2025-10-13T11:21:08.326312
1618,787,831,,1041,135,349,120,676,619,57,919000,2625,156354,71982,72,796,796,787,9,468,277,53,787,124,605,Census Tract 21.05; Westchester County; New York,36,119,002105,2022,acs/acs5,2025-10-13T11:21:08.326326
2432,1119,1313,,674,1017,324,695,904,885,19,464300,1956,93720,34909,321,1311,1284,1257,27,460,221,0,1273,153,1197,Census Tract 21.06; Westchester County; New York,36,119,002106,2022,acs/acs5,2025-10-13T11:21:08.326336
1759,1021,738,,804,344,298,194,591,585,6,680900,1703,86146,43034,118,800,800,768,32,288,188,19,751,196,729,Census Tract 21.07; Westchester County; New York,36,119,002107,2022,acs/acs5,2025-10-13T11:21:08.326346
2425,1264,1161,,1979,96,136,364,935,907,28,668900,2049,149866,68306,101,1466,1466,1439,27,520,283,54,1428,181,1020,Census Tract 22.01; Westchester County; New York,36,119,002201,2022,acs/acs5,2025-10-13T11:21:08.326356
4751,2256,2495,,3751,334,202,440,2509,2394,115,440700,1250,136250,91661,128,2875,2875,2646,229,1083,866,14,2646,1107,2253,Census Tract 22.02; Westchester County; New York,36,119,002202,2022,acs/acs5,2025-10-13T11:21:08.326365
1633,678,955,,649,110,410,542,1071,1043,28,169300,935,46654,43352,175,734,734,734,0,378,153,42,713,200,659,Census Tract 22.03; Westchester County; New York,36,119,002203,2022,acs/acs5,2025-10-13T11:21:08.326375
5396,2133,3263,,3786,420,252,1227,2151,2063,88,296900,2021,102956,66818,361,2882,2882,2577,305,998,735,54,2455,466,1992,Census Tract 22.04; Westchester County; New York,36,119,002204,2022,acs/acs5,2025-10-13T11:21:08.326384
4069,2055,2014,,2726,223,301,983,1453,1426,27,466500,2119,129432,53319,196,2398,2398,2332,66,820,363,45,2265,477,1926,Census Tract 23; Westchester County; New York,36,119,002300,2022,acs/acs5,2025-10-13T11:21:08.326394
