total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,county,tract,year,dataset,fetched_date
4980,2533,2447,,3503,101,21,2073,1845,1808,37,761500,2302,128371,61839,157,3229,3229,3205,24,1061,258,42,3153,363,2717,Census Tract 73; Westchester County; New York,36,119,007300,2022,acs/acs5,2025-10-13T11:21:08.326998
4724,2073,2651,,3010,376,229,1376,1771,1645,126,689100,2248,126563,55359,220,2603,2603,2485,118,983,552,90,2373,372,1942,Census Tract 74.01; Westchester County; New York,36,119,007401,2022,acs/acs5,2025-10-13T11:21:08.327008
3057,1607,1450,,2355,15,379,259,1082,1043,39,848300,1898,139083,65559,121,1544,1544,1415,129,777,545,92,1415,342,1145,Census Tract 74.02; Westchester County; New York,36,119,007402,2022,acs/acs5,2025-10-13T11:21:08.327018
4918,2643,2275,,3804,28,310,363,1933,1802,131,1928100,1346,250001,188253,118,2089,2085,2003,82,924,1081,155,1997,732,1382,Census Tract 75; Westchester County; New York,36,119,007500,2022,acs/acs5,2025-10-13T11:21:08.327028
6017,2874,3143,,5193,65,164,547,2062,1895,167,1750800,2374,250001,138170,244,2887,2887,2674,213,1246,1365,117,2667,633,1983,Census Tract 76; Westchester County; New York,36,119,007600,2022,acs/acs5,2025-10-13T11:21:08.327037
5512,2671,2841,,4108,203,749,349,2226,2183,43,1508400,2766,175558,115666,117,3011,3011,2894,117,1548,679,63,2802,784,2248,Census Tract 77; Westchester County; New York,36,119,007700,2022,acs/acs5,2025-10-13T11:21:08.327047
4892,2416,2476,,2068,668,46,3352,1518,1504,14,465800,1714,64237,32601,1543,2219,2219,2032,187,584,111,22,1930,368,1794,Census Tract 78; Westchester County; New York,36,119,007800,2022,acs/acs5,2025-10-13T11:21:08.327056
3390,1820,1570,,1019,47,67,2578,1131,994,137,598100,1803,77985,28321,517,1819,1819,1689,130,223,159,7,1657,62,1571,Census Tract 79.01; Westchester County; New York,36,119,007901,2022,acs/acs5,2025-10-13T11:21:08.327066
4756,2640,2116,,1989,250,51,2931,1673,1627,46,431900,2431,95216,37718,427,2918,2901,2689,212,644,216,45,2634,343,2432,Census Tract 79.02; Westchester County; New York,36,119,007902,2022,acs/acs5,2025-10-13T11:21:08.327075
5441,2977,2464,,1144,531,175,4118,1816,1750,66,568400,1885,67188,27695,1395,3180,3180,2977,203,635,244,0,2809,579,2740,Census Tract 80; Westchester County; New York,36,119,008000,2022,acs/acs5,2025-10-13T11:21:08.327085
4831,2754,2077,,2045,169,31,3204,1961,1846,115,401000,1884,89250,43842,295,2725,2725,2370,355,802,320,0,2329,212,2221,Census Tract 81; Westchester County; New York,36,119,008100,2022,acs/acs5,2025-10-13T11:21:08.327095
8154,4132,4022,,4538,718,279,3353,2636,2533,103,624900,2231,138690,59232,265,4820,4820,4699,121,1669,866,118,4584,429,3715,Census Tract 82; Westchester County; New York,36,119,008200,2022,acs/acs5,2025-10-13T11:21:08.327104
2339,1224,1115,,1496,79,259,755,958,904,54,629800,2112,132083,69272,134,1284,1284,1192,92,522,207,75,1192,179,1115,Census Tract 83.01; Westchester County; New York,36,119,008301,2022,acs/acs5,2025-10-13T11:21:08.327116
7405,3530,3875,,6078,26,742,222,2590,2458,132,1055700,2650,249643,112597,408,3468,3468,3102,366,1572,1271,173,3086,489,2329,Census Tract 83.02; Westchester County; New York,36,119,008302,2022,acs/acs5,2025-10-13T11:21:08.327133
2080,1072,1008,,1783,18,29,153,712,650,62,1416300,2272,250001,127350,57,1041,1041,1037,4,499,249,32,1021,354,826,Census Tract 84.01; Westchester County; New York,36,119,008401,2022,acs/acs5,2025-10-13T11:21:08.327150
3794,1635,2159,,2755,28,630,712,1313,1290,23,832400,2631,145875,72936,361,1848,1848,1754,94,842,402,18,1735,433,1445,Census Tract 84.03; Westchester County; New York,36,119,008403,2022,acs/acs5,2025-10-13T11:21:08.327165
5636,2575,3061,,4184,444,644,674,2150,2101,49,591600,2605,129132,48624,361,2996,2996,2855,141,1287,454,93,2769,616,2583,Census Tract 84.04; Westchester County; New York,36,119,008404,2022,acs/acs5,2025-10-13T11:21:08.327180
3601,1792,1809,,3173,42,125,241,1160,1020,140,2000001,,250001,138760,91,1799,1799,1765,34,858,535,49,1736,476,1299,Census Tract 85; Westchester County; New York,36,119,008500,2022,acs/acs5,2025-10-13T11:21:08.327195
5450,2575,2875,,4355,181,397,581,1390,1207,183,1588000,3501,250001,108204,27,2629,2629,2440,189,1421,550,33,2346,398,1660,Census Tract 86.02; Westchester County; New York,36,119,008602,2022,acs/acs5,2025-10-13T11:21:08.327213
6015,2869,3146,,4493,275,55,1751,2136,1974,162,692500,2631,110104,45206,260,3070,3070,2900,170,929,541,37,2871,427,2454,Census Tract 87; Westchester County; New York,36,119,008700,2022,acs/acs5,2025-10-13T11:21:08.327230
1623,854,769,,557,270,245,553,929,789,140,364600,3189,125861,63594,336,983,983,944,39,440,379,27,909,155,645,Census Tract 88.01; Westchester County; New York,36,119,008801,2022,acs/acs5,2025-10-13T11:21:08.327248
2532,1052,1480,,1409,276,259,620,1592,1463,129,222500,2100,98058,69131,216,1833,1833,1729,104,674,260,40,1688,357,1331,Census Tract 88.02; Westchester County; New York,36,119,008802,2022,acs/acs5,2025-10-13T11:21:08.327265
6227,2571,3656,,3520,578,359,2232,2837,2720,117,376300,1808,101250,53061,785,3367,3367,3202,165,1102,740,53,3112,416,2706,Census Tract 89.01; Westchester County; New York,36,119,008901,2022,acs/acs5,2025-10-13T11:21:08.327281
3940,1813,2127,,1825,693,143,1186,1438,1438,0,634400,1598,100509,51525,163,2147,2147,2018,129,442,579,43,1986,272,1825,Census Tract 89.02; Westchester County; New York,36,119,008902,2022,acs/acs5,2025-10-13T11:21:08.327291
4287,2221,2066,,1712,609,471,1859,1877,1665,212,486200,2455,115404,55171,225,2510,2492,2322,170,869,431,102,2314,479,2117,Census Tract 90; Westchester County; New York,36,119,009000,2022,acs/acs5,2025-10-13T11:21:08.327301
5609,2848,2761,,1595,1426,357,2396,2176,2131,45,585200,2121,85696,39398,969,3012,3012,2919,93,760,558,136,2847,358,2560,Census Tract 91; Westchester County; New York,36,119,009100,2022,acs/acs5,2025-10-13T11:21:08.327310
4043,1957,2086,,1664,388,538,1550,1670,1454,216,765400,3036,151061,94038,291,2307,2307,2213,94,663,531,45,2206,246,1535,Census Tract 92.01; Westchester County; New York,36,119,009201,2022,acs/acs5,2025-10-13T11:21:08.327340
2930,1448,1482,,795,245,107,2075,1100,1036,64,538600,1974,54265,32475,400,1861,1861,1773,88,296,182,0,1711,268,1556,Census Tract 92.02; Westchester County; New York,36,119,009202,2022,acs/acs5,2025-10-13T11:21:08.327370
3630,1625,2005,,1089,867,562,1180,1743,1535,208,1220000,1077,48713,54285,1035,1607,1607,1494,113,571,260,63,1472,352,1074,Census Tract 93; Westchester County; New York,36,119,009300,2022,acs/acs5,2025-10-13T11:21:08.327389
3591,1849,1742,,1958,303,339,1747,1841,1708,133,603200,1970,71071,55831,529,1801,1801,1663,138,596,529,39,1617,252,1398,Census Tract 94; Westchester County; New York,36,119,009400,2022,acs/acs5,2025-10-13T11:21:08.327407
6340,3302,3038,,3672,764,373,1722,2717,2575,142,505100,2095,126920,68741,286,4225,4225,4139,86,1187,944,55,4111,321,3321,Census Tract 95; Westchester County; New York,36,119,009500,2022,acs/acs5,2025-10-13T11:21:08.327426
4832,2176,2656,,4045,206,208,345,1850,1797,53,703000,3501,186406,86669,55,2500,2500,2320,180,1004,857,143,2320,245,1832,Census Tract 96; Westchester County; New York,36,119,009600,2022,acs/acs5,2025-10-13T11:21:08.327445
3072,1466,1606,,2001,569,292,358,1239,1088,151,826100,1756,176324,80300,52,1331,1331,1283,48,588,595,55,1283,137,1016,Census Tract 97.01; Westchester County; New York,36,119,009701,2022,acs/acs5,2025-10-13T11:21:08.327463
2699,1266,1433,,2143,205,70,390,1411,1250,161,806800,1731,101581,78070,357,1306,1306,1125,181,692,465,48,1125,139,878,Census Tract 97.02; Westchester County; New York,36,119,009702,2022,acs/acs5,2025-10-13T11:21:08.327482
4066,1889,2177,,3407,243,240,376,1551,1413,138,983600,3501,203984,112780,187,1972,1972,1842,130,938,890,129,1835,177,1388,Census Tract 97.03; Westchester County; New York,36,119,009703,2022,acs/acs5,2025-10-13T11:21:08.327499
4744,2267,2477,,3275,0,996,449,1649,1564,85,1699700,1847,250001,199555,95,2148,2148,2074,74,748,969,126,2053,552,1391,Census Tract 98; Westchester County; New York,36,119,009800,2022,acs/acs5,2025-10-13T11:21:08.327517
2906,1588,1318,,2075,16,432,60,878,808,70,2000001,3501,250001,230829,63,1314,1314,1248,66,531,477,130,1233,506,881,Census Tract 99; Westchester County; New York,36,119,009900,2022,acs/acs5,2025-10-13T11:21:08.327535
5600,2726,2874,,4153,219,885,174,1875,1727,148,1691000,3501,250001,162970,345,2439,2439,2297,142,1023,1100,233,2254,840,1668,Census Tract 100; Westchester County; New York,36,119,010000,2022,acs/acs5,2025-10-13T11:21:08.327554
4811,2356,2455,,3285,129,846,492,1577,1424,153,1317600,3501,250001,123748,23,2234,2234,2146,88,747,1141,308,2133,614,1523,Census Tract 101; Westchester County; New York,36,119,010100,2022,acs/acs5,2025-10-13T11:21:08.327575
4998,2535,2463,,4032,52,308,546,1639,1632,7,890000,2246,218796,97433,145,2763,2763,2685,78,1073,733,249,2677,816,2136,Census Tract 102; Westchester County; New York,36,119,010200,2022,acs/acs5,2025-10-13T11:21:08.327595
3458,1635,1823,,3036,53,136,275,1510,1457,53,595100,1832,111806,85833,34,1781,1781,1760,21,681,619,144,1711,298,1230,Census Tract 103; Westchester County; New York,36,119,010300,2022,acs/acs5,2025-10-13T11:21:08.327614
4265,2180,2085,,3019,146,318,1019,1451,1338,113,846600,2533,160385,63924,400,2375,2375,2136,239,697,653,74,2088,511,1737,Census Tract 104; Westchester County; New York,36,119,010400,2022,acs/acs5,2025-10-13T11:21:08.327632
7166,3585,3581,,5178,135,1062,474,2565,2456,109,679000,2163,136771,73109,180,3861,3861,3738,123,1195,1610,126,3679,608,2894,Census Tract 105; Westchester County; New York,36,119,010500,2022,acs/acs5,2025-10-13T11:21:08.327650
5013,2427,2586,,3404,250,671,404,1749,1679,70,800000,3501,243594,87646,87,2497,2497,2280,217,1080,916,148,2263,323,1719,Census Tract 106; Westchester County; New York,36,119,010600,2022,acs/acs5,2025-10-13T11:21:08.327669
5736,2895,2841,,3549,192,1585,422,1882,1812,70,1101500,3501,250001,128558,147,2853,2853,2732,121,1291,963,207,2692,835,2200,Census Tract 107.01; Westchester County; New York,36,119,010701,2022,acs/acs5,2025-10-13T11:21:08.327687
5794,2867,2927,,3509,161,1769,407,2727,2649,78,460500,2407,114240,123632,223,3138,3138,2967,171,1426,1274,149,2843,800,2053,Census Tract 107.02; Westchester County; New York,36,119,010702,2022,acs/acs5,2025-10-13T11:21:08.327705
3585,1739,1846,,2455,216,507,384,1373,1306,67,704000,1840,163438,86491,256,1960,1960,1881,79,820,556,162,1780,247,1196,Census Tract 108.01; Westchester County; New York,36,119,010801,2022,acs/acs5,2025-10-13T11:21:08.327724
3831,1725,2106,,2243,661,227,689,2124,2001,123,414800,1791,99427,73908,312,1966,1966,1886,80,1072,732,78,1806,231,1541,Census Tract 108.03; Westchester County; New York,36,119,010803,2022,acs/acs5,2025-10-13T11:21:08.327742
2305,1039,1266,,1579,267,153,319,1035,1011,24,378200,1861,126758,85386,83,1427,1427,1395,32,478,447,77,1395,471,1168,Census Tract 108.04; Westchester County; New York,36,119,010804,2022,acs/acs5,2025-10-13T11:21:08.327760
2332,1214,1118,,1247,768,106,243,829,779,50,549800,2065,109432,61345,508,1221,1221,1141,80,435,347,35,1115,131,941,Census Tract 109.01; Westchester County; New York,36,119,010901,2022,acs/acs5,2025-10-13T11:21:08.327778
6241,3180,3061,,2176,1790,627,1913,2359,2253,106,510900,1949,151921,67402,218,3886,3886,3631,255,1280,1072,160,3577,344,3012,Census Tract 109.02; Westchester County; New York,36,119,010902,2022,acs/acs5,2025-10-13T11:21:08.327797
4897,2394,2503,,982,2150,322,1367,1761,1725,36,593000,1506,94438,52563,304,3008,3008,2797,211,769,601,37,2696,354,2313,Census Tract 109.03; Westchester County; New York,36,119,010903,2022,acs/acs5,2025-10-13T11:21:08.327815
2586,1333,1253,,839,1080,276,390,907,840,67,427900,2051,120156,42996,137,1522,1515,1322,193,386,221,56,1329,56,1159,Census Tract 110; Westchester County; New York,36,119,011000,2022,acs/acs5,2025-10-13T11:21:08.327836
6007,3065,2942,,3706,841,622,982,2648,2490,158,642200,2822,134954,83331,201,3893,3893,3786,107,1680,993,189,3742,644,2931,Census Tract 111.01; Westchester County; New York,36,119,011101,2022,acs/acs5,2025-10-13T11:21:08.327855
2930,1433,1497,,2157,187,322,220,1037,1012,25,706400,,173958,72851,37,1613,1613,1534,79,704,494,75,1534,144,1175,Census Tract 111.02; Westchester County; New York,36,119,011102,2022,acs/acs5,2025-10-13T11:21:08.327873
4749,2248,2501,,1609,948,397,2473,1583,1408,175,518300,2246,120528,42957,452,2436,2436,2289,147,750,217,24,2212,327,2192,Census Tract 112; Westchester County; New York,36,119,011200,2022,acs/acs5,2025-10-13T11:21:08.327892
6590,3268,3322,,5081,73,573,691,2640,2202,438,900100,2408,184569,97973,118,3509,3509,3401,108,1181,1206,257,3363,666,2451,Census Tract 113; Westchester County; New York,36,119,011300,2022,acs/acs5,2025-10-13T11:21:08.327911
3975,1775,2200,,2972,147,567,230,1952,1861,91,531600,2341,157396,90646,99,2234,2234,2197,37,1324,888,189,2149,277,1625,Census Tract 114.01; Westchester County; New York,36,119,011401,2022,acs/acs5,2025-10-13T11:21:08.327929
1748,867,881,,1130,91,268,263,675,590,85,888600,2583,190208,89751,127,907,907,847,60,364,353,20,847,123,572,Census Tract 114.02; Westchester County; New York,36,119,011402,2022,acs/acs5,2025-10-13T11:21:08.327948
6053,3199,2854,,4132,190,151,2319,2678,2470,208,633700,1885,108092,59224,483,3232,3232,3150,82,980,737,147,3150,460,2929,Census Tract 115; Westchester County; New York,36,119,011500,2022,acs/acs5,2025-10-13T11:21:08.327966
3390,1729,1661,,697,100,0,2410,1283,1283,0,,1572,58750,32081,646,1731,1731,1473,258,94,280,15,1473,267,1176,Census Tract 116.01; Westchester County; New York,36,119,011601,2022,acs/acs5,2025-10-13T11:21:08.327986
3728,1890,1838,,1077,335,116,2486,1463,1333,130,553600,1781,86767,35360,362,2183,2183,1987,196,578,127,26,1987,330,1875,Census Tract 116.02; Westchester County; New York,36,119,011602,2022,acs/acs5,2025-10-13T11:21:08.328005
3070,1547,1523,,2659,9,113,333,1172,1136,36,844100,2076,195291,98646,31,1670,1670,1664,6,664,554,53,1631,393,1221,Census Tract 117; Westchester County; New York,36,119,011700,2022,acs/acs5,2025-10-13T11:21:08.328024
6149,3135,3014,,4889,364,384,552,1786,1752,34,962200,3501,219853,96216,50,3162,3162,3023,139,993,796,255,2931,327,2290,Census Tract 118; Westchester County; New York,36,119,011800,2022,acs/acs5,2025-10-13T11:21:08.328040
4293,2217,2076,,3533,175,324,453,1629,1523,106,636300,2846,121792,60224,282,2134,2134,2005,129,924,410,90,1937,162,1643,Census Tract 119.02; Westchester County; New York,36,119,011902,2022,acs/acs5,2025-10-13T11:21:08.328059
4686,2369,2317,,4180,96,226,263,1725,1669,56,664000,3130,129656,64065,165,2479,2479,2302,177,807,665,61,2277,390,2033,Census Tract 120; Westchester County; New York,36,119,012000,2022,acs/acs5,2025-10-13T11:21:08.328077
5332,2678,2654,,4456,0,527,336,1833,1792,41,893400,,197609,94507,138,2804,2804,2604,200,1296,861,142,2530,334,2012,Census Tract 121.01; Westchester County; New York,36,119,012101,2022,acs/acs5,2025-10-13T11:21:08.328096
4807,2390,2417,,4052,69,308,399,1581,1553,28,662100,1899,184107,67460,213,2687,2687,2656,31,949,709,51,2531,320,2176,Census Tract 121.02; Westchester County; New York,36,119,012102,2022,acs/acs5,2025-10-13T11:21:08.328114
3193,1663,1530,,2685,165,89,191,1181,1119,62,843700,,184561,95398,45,1768,1768,1654,114,742,520,152,1644,334,1389,Census Tract 122.01; Westchester County; New York,36,119,012201,2022,acs/acs5,2025-10-13T11:21:08.328132
4237,2164,2073,,3743,3,69,693,1614,1490,124,695100,1800,151094,69608,326,2222,2222,2106,116,994,754,125,2018,181,1760,Census Tract 122.02; Westchester County; New York,36,119,012202,2022,acs/acs5,2025-10-13T11:21:08.328150
2486,1179,1307,,1426,156,108,895,911,888,23,665300,2208,95132,51933,67,1510,1510,1427,83,439,218,50,1404,191,1297,Census Tract 123.01; Westchester County; New York,36,119,012301,2022,acs/acs5,2025-10-13T11:21:08.328168
4908,2553,2355,,3571,108,293,719,1713,1624,89,1058400,2326,235219,113811,192,2420,2420,2358,62,1380,826,88,2292,394,1718,Census Tract 123.03; Westchester County; New York,36,119,012303,2022,acs/acs5,2025-10-13T11:21:08.328187
4920,2732,2188,,4483,95,139,227,1889,1727,162,1075500,,238750,137469,32,2343,2343,2287,56,980,1147,121,2281,372,1923,Census Tract 123.04; Westchester County; New York,36,119,012304,2022,acs/acs5,2025-10-13T11:21:08.328206
5030,2432,2598,,4405,140,107,297,2022,1799,223,977400,3400,229821,125365,105,2836,2836,2766,70,1625,822,128,2689,296,1817,Census Tract 124; Westchester County; New York,36,119,012400,2022,acs/acs5,2025-10-13T11:21:08.328224
2963,1374,1589,,2572,12,230,124,1108,1046,62,771700,2243,250001,113491,78,1739,1739,1708,31,655,691,101,1695,175,1072,Census Tract 125.01; Westchester County; New York,36,119,012501,2022,acs/acs5,2025-10-13T11:21:08.328243
5404,2602,2802,,4718,43,196,360,2277,1904,373,751200,2194,189638,85208,231,2757,2757,2698,59,1596,671,48,2698,151,1920,Census Tract 125.02; Westchester County; New York,36,119,012502,2022,acs/acs5,2025-10-13T11:21:08.328262
3828,1912,1916,,3231,68,170,417,1437,1427,10,601800,2821,190361,91949,124,2329,2329,2187,142,859,774,70,2148,100,1668,Census Tract 125.03; Westchester County; New York,36,119,012503,2022,acs/acs5,2025-10-13T11:21:08.328280
4597,2144,2453,,3961,22,150,613,1775,1568,207,868300,3501,208071,92922,549,2272,2272,2243,29,1221,924,153,2212,348,1730,Census Tract 126; Westchester County; New York,36,119,012600,2022,acs/acs5,2025-10-13T11:21:08.328297
4695,2257,2438,,3949,105,75,682,1861,1604,257,1077900,2365,250001,118904,222,2203,2203,2138,65,1220,930,74,2123,368,1574,Census Tract 127; Westchester County; New York,36,119,012700,2022,acs/acs5,2025-10-13T11:21:08.328315
2813,1337,1476,,2193,131,148,348,1108,1044,64,701900,1797,176912,78848,224,1668,1668,1530,138,669,608,49,1514,159,1218,Census Tract 128.03; Westchester County; New York,36,119,012803,2022,acs/acs5,2025-10-13T11:21:08.328336
4037,1842,2195,,2156,105,657,1502,1538,1402,136,666400,1865,93939,74607,482,1831,1831,1749,82,587,320,16,1700,116,1366,Census Tract 128.04; Westchester County; New York,36,119,012804,2022,acs/acs5,2025-10-13T11:21:08.328355
4514,2461,2053,,2679,396,118,1804,1943,1854,89,195600,1776,88258,40460,421,2655,2655,2496,159,979,487,68,2460,149,2232,Census Tract 129; Westchester County; New York,36,119,012900,2022,acs/acs5,2025-10-13T11:21:08.328373
6321,3223,3098,,4602,253,169,1931,2552,2348,204,603400,1687,107055,54195,305,3087,3087,2965,122,996,984,141,2965,317,2363,Census Tract 130; Westchester County; New York,36,119,013000,2022,acs/acs5,2025-10-13T11:21:08.328388
6687,3431,3256,,5378,184,612,438,2482,2351,131,883100,2442,237358,121868,254,3234,3234,3057,177,1246,1448,258,3013,644,2115,Census Tract 131.02; Westchester County; New York,36,119,013102,2022,acs/acs5,2025-10-13T11:21:08.328405
5805,2502,3303,,4588,109,751,422,1884,1785,99,919500,3288,227713,90380,68,3197,3197,3177,20,1263,897,160,3144,270,2609,Census Tract 131.03; Westchester County; New York,36,119,013103,2022,acs/acs5,2025-10-13T11:21:08.328423
5633,2804,2829,,4381,222,440,367,1876,1796,80,951100,,250001,119133,114,2834,2834,2741,93,1259,1119,247,2710,396,1763,Census Tract 131.04; Westchester County; New York,36,119,013104,2022,acs/acs5,2025-10-13T11:21:08.328441
3731,2049,1682,,2849,49,220,410,1418,1289,129,1028500,3501,250001,137435,301,1771,1771,1727,44,820,744,219,1651,487,1345,Census Tract 132.01; Westchester County; New York,36,119,013201,2022,acs/acs5,2025-10-13T11:21:08.328460
3096,1430,1666,,2458,65,294,243,1324,1249,75,664300,1701,159122,80691,160,1622,1622,1535,87,895,574,58,1535,241,1170,Census Tract 132.02; Westchester County; New York,36,119,013202,2022,acs/acs5,2025-10-13T11:21:08.328477
4012,2065,1947,,1407,666,135,2438,1638,1532,106,357200,2135,120362,54817,419,2432,2432,2259,173,546,302,15,2232,216,1825,Census Tract 133.01; Westchester County; New York,36,119,013301,2022,acs/acs5,2025-10-13T11:21:08.328493
5050,2835,2215,,1886,537,97,2773,1922,1853,69,404100,2099,81908,46032,337,2633,2619,2489,130,589,739,24,2503,235,2126,Census Tract 133.04; Westchester County; New York,36,119,013304,2022,acs/acs5,2025-10-13T11:21:08.328509
2960,1382,1578,,1648,475,252,743,1472,1394,78,200800,1660,81848,49489,380,1798,1798,1724,74,367,523,86,1724,133,1507,Census Tract 134.01; Westchester County; New York,36,119,013401,2022,acs/acs5,2025-10-13T11:21:08.328526
4337,2040,2297,,2669,97,347,1746,1694,1694,0,465600,2134,96984,58893,396,2512,2512,2443,69,645,479,68,2443,377,2083,Census Tract 134.02; Westchester County; New York,36,119,013402,2022,acs/acs5,2025-10-13T11:21:08.328543
4460,2217,2243,,2864,228,234,1407,1556,1479,77,456900,2076,133257,52509,75,2496,2496,2413,83,802,429,28,2287,277,2056,Census Tract 135; Westchester County; New York,36,119,013500,2022,acs/acs5,2025-10-13T11:21:08.328559
4786,2180,2606,,2450,592,248,1629,1962,1801,161,447000,1920,101467,49790,266,2579,2557,2455,102,758,745,71,2438,482,2261,Census Tract 136; Westchester County; New York,36,119,013600,2022,acs/acs5,2025-10-13T11:21:08.328577
5597,2702,2895,,4480,205,296,971,2131,2091,40,569900,3056,150907,78851,506,2801,2801,2603,198,1064,1098,130,2478,337,2058,Census Tract 137; Westchester County; New York,36,119,013700,2022,acs/acs5,2025-10-13T11:21:08.328595
3460,1594,1866,,3086,0,125,270,1277,1183,94,647000,2016,192305,77858,107,1983,1983,1846,137,690,593,89,1778,452,1331,Census Tract 138; Westchester County; New York,36,119,013800,2022,acs/acs5,2025-10-13T11:21:08.328613
4777,2374,2403,,3902,160,134,729,1854,1793,61,692600,2048,150739,76433,115,2548,2548,2337,211,1271,626,142,2250,290,1637,Census Tract 139; Westchester County; New York,36,119,013900,2022,acs/acs5,2025-10-13T11:21:08.328630
2272,1125,1147,,1569,129,109,416,841,787,54,461500,1577,133646,61404,84,1208,1208,1177,31,512,194,12,1146,90,1055,Census Tract 140; Westchester County; New York,36,119,014000,2022,acs/acs5,2025-10-13T11:21:08.328647
6535,3110,3425,,3446,881,69,2250,3274,2977,297,348300,1793,78179,41216,618,4160,4160,3698,462,1032,533,58,3682,397,3547,Census Tract 141; Westchester County; New York,36,119,014100,2022,acs/acs5,2025-10-13T11:21:08.328666
4110,2167,1943,,1893,594,70,2476,1645,1502,143,323500,1985,83333,45764,540,2647,2631,2462,169,421,266,20,2419,272,2064,Census Tract 142; Westchester County; New York,36,119,014200,2022,acs/acs5,2025-10-13T11:21:08.328683
3903,1941,1962,,716,1098,167,2122,1650,1574,76,370700,1545,75200,36824,452,1975,1975,1781,194,697,196,31,1708,54,1607,Census Tract 143; Westchester County; New York,36,119,014300,2022,acs/acs5,2025-10-13T11:21:08.328701
6510,3187,3323,,2331,1683,66,2579,2721,2563,158,344100,1799,105625,46721,540,3558,3463,3201,262,1027,718,46,3264,150,3206,Census Tract 144; Westchester County; New York,36,119,014400,2022,acs/acs5,2025-10-13T11:21:08.328718
4343,1775,2568,,2579,817,126,1051,2387,2268,119,418600,2214,102317,61820,271,2519,2519,2252,267,885,714,77,2112,339,1794,Census Tract 145; Westchester County; New York,36,119,014500,2022,acs/acs5,2025-10-13T11:21:08.328736
4515,2162,2353,,3244,220,23,986,1738,1574,164,406900,1499,102813,44259,410,2866,2866,2371,495,842,367,66,2336,293,2019,Census Tract 146.04; Westchester County; New York,36,119,014604,2022,acs/acs5,2025-10-13T11:21:08.328753
3111,1487,1624,,2204,393,98,692,1740,1540,200,349100,1663,77348,53425,430,1635,1635,1538,97,353,328,0,1491,212,1329,Census Tract 146.05; Westchester County; New York,36,119,014605,2022,acs/acs5,2025-10-13T11:21:08.328771
5644,2913,2731,,4764,117,288,448,2094,1827,267,713100,2750,210048,81518,142,2928,2928,2836,92,1260,1011,211,2825,538,2076,Census Tract 146.06; Westchester County; New York,36,119,014606,2022,acs/acs5,2025-10-13T11:21:08.328788
4665,2243,2422,,3237,562,352,376,1521,1448,73,515600,1445,163750,64721,35,2517,2517,2438,79,825,796,48,2389,257,2050,Census Tract 146.07; Westchester County; New York,36,119,014607,2022,acs/acs5,2025-10-13T11:21:08.328805
5058,2759,2299,,2964,433,209,1286,1716,1646,70,447600,2142,123000,54166,321,2846,2846,2314,532,644,451,28,2270,104,2031,Census Tract 147.01; Westchester County; New York,36,119,014701,2022,acs/acs5,2025-10-13T11:21:08.328823
5954,2794,3160,,3913,1137,19,1283,2159,1918,241,457500,1777,124794,43229,473,2976,2976,2810,166,859,630,40,2528,153,2204,Census Tract 147.03; Westchester County; New York,36,119,014703,2022,acs/acs5,2025-10-13T11:21:08.328840
2094,1051,1043,,1186,222,72,691,874,801,73,475300,1696,85060,48603,113,1144,1144,1094,50,297,263,12,1065,46,938,Census Tract 147.04; Westchester County; New York,36,119,014704,2022,acs/acs5,2025-10-13T11:21:08.328856
3873,1973,1900,,3164,209,275,384,1472,1399,73,635000,,203295,86733,79,2122,2122,1951,171,890,495,57,1828,251,1448,Census Tract 148.05; Westchester County; New York,36,119,014805,2022,acs/acs5,2025-10-13T11:21:08.328874
6469,3427,3042,,5030,542,211,872,2392,2230,162,573800,2104,151111,60783,435,3389,3389,2931,458,1575,1014,27,2884,204,2504,Census Tract 148.06; Westchester County; New York,36,119,014806,2022,acs/acs5,2025-10-13T11:21:08.328891
3506,1808,1698,,3010,96,172,315,1172,1057,115,634500,1856,200536,64913,86,1811,1811,1750,61,756,581,30,1735,126,1396,Census Tract 148.08; Westchester County; New York,36,119,014808,2022,acs/acs5,2025-10-13T11:21:08.328909
5834,2831,3003,,3998,573,212,896,2368,2258,110,604900,1203,120643,67552,409,3097,3097,2932,165,1335,696,140,2910,234,2449,Census Tract 148.09; Westchester County; New York,36,119,014809,2022,acs/acs5,2025-10-13T11:21:08.328927
1908,675,1233,,1788,47,34,199,1158,1149,9,363200,1963,69219,57697,123,771,771,679,92,396,150,26,679,7,572,Census Tract 148.10; Westchester County; New York,36,119,014810,2022,acs/acs5,2025-10-13T11:21:08.328944
5695,2779,2916,,4630,372,370,428,1866,1751,115,563200,,163036,62700,114,3110,3110,3009,101,1054,720,130,2953,182,2438,Census Tract 148.11; Westchester County; New York,36,119,014811,2022,acs/acs5,2025-10-13T11:21:08.328961
4747,2180,2567,,3768,121,468,815,1731,1672,59,461000,1597,129883,61900,156,2770,2770,2555,215,972,596,14,2555,130,2305,Census Tract 148.12; Westchester County; New York,36,119,014812,2022,acs/acs5,2025-10-13T11:21:08.328977
