total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,place,year,dataset,fetched_date
1131,592,539,,1064,27,5,13,804,610,194,134800,669,50714,40523,105,550,550,496,54,79,102,18,496,8,459,"Alexandria Bay village, New York",36,01187,2022,acs/acs5,2025-10-13T11:21:10.424742
4577,2519,2058,,3440,540,216,504,619,503,116,138700,800,43583,11618,439,1814,1814,1516,298,147,193,120,1334,18,1218,"Alfred village, New York",36,01198,2022,acs/acs5,2025-10-13T11:21:10.424753
1867,1023,844,,1694,19,97,22,878,772,106,137300,709,70870,39067,313,969,966,949,17,234,239,16,894,0,815,"Allegany village, New York",36,01286,2022,acs/acs5,2025-10-13T11:21:10.424762
418,182,236,,402,0,10,2,203,166,37,78800,1000,52000,28364,86,192,192,183,9,36,30,2,180,2,171,"Almond village, New York",36,01440,2022,acs/acs5,2025-10-13T11:21:10.424772
1745,815,930,,1621,24,31,63,705,681,24,287000,1052,104350,46524,110,951,948,940,8,314,251,26,915,8,807,"Altamont village, New York",36,01517,2022,acs/acs5,2025-10-13T11:21:10.424782
310,148,162,,301,0,0,7,151,127,24,100000,1089,50536,23283,56,139,139,130,9,31,0,0,129,0,121,"Altmar CDP, New York",36,01550,2022,acs/acs5,2025-10-13T11:21:10.424792
657,570,87,,423,159,16,79,159,108,51,68300,1094,,8477,149,173,173,146,27,20,0,0,146,0,140,"Altona CDP, New York",36,01572,2022,acs/acs5,2025-10-13T11:21:10.424802
678,288,390,,644,3,0,29,1657,326,1331,1697000,,169000,125357,7,321,321,321,0,216,104,56,321,0,304,"Amagansett CDP, New York",36,01594,2022,acs/acs5,2025-10-13T11:21:10.424812
831,522,309,,591,0,0,213,437,410,27,259700,1281,78512,39850,91,478,478,478,0,106,11,0,460,14,433,"Amenia CDP, New York",36,01682,2022,acs/acs5,2025-10-13T11:21:10.424822
166,79,87,,156,0,0,3,79,63,16,125000,,105208,40691,1,93,93,93,0,26,9,0,93,0,93,"Ames village, New York",36,01737,2022,acs/acs5,2025-10-13T11:21:10.424832
9507,4360,5147,,7175,986,170,1293,3990,3811,179,482000,1983,96496,55282,682,4841,4841,4615,226,1332,1136,96,4584,503,4214,"Amityville village, New York",36,02044,2022,acs/acs5,2025-10-13T11:21:10.424842
18244,9006,9238,,11792,1225,327,5986,9218,7467,1751,107900,906,46338,26745,3979,8594,8594,7806,788,1485,658,60,7719,37,7025,"Amsterdam city, New York",36,02066,2022,acs/acs5,2025-10-13T11:21:10.424852
115,65,50,,109,0,0,0,135,84,51,200000,867,50750,68906,0,57,57,51,6,22,13,3,51,0,39,"Andes CDP, New York",36,02121,2022,acs/acs5,2025-10-13T11:21:10.424862
1018,537,481,,991,0,0,20,442,359,83,71900,733,61172,34704,155,521,510,459,51,200,22,0,470,0,463,"Andover village, New York",36,02143,2022,acs/acs5,2025-10-13T11:21:10.424885
625,276,349,,594,4,6,3,348,287,61,71600,850,51250,31271,95,292,292,273,19,42,41,0,269,0,266,"Angelica village, New York",36,02176,2022,acs/acs5,2025-10-13T11:21:10.424895
2688,1402,1286,,2513,90,42,49,1056,1017,39,141700,855,71809,30547,258,1464,1464,1424,40,224,124,0,1375,16,1249,"Angola village, New York",36,02198,2022,acs/acs5,2025-10-13T11:21:10.424906
1640,701,939,,1580,10,0,37,782,675,107,132800,963,65781,37229,237,853,853,778,75,173,152,12,763,12,743,"Angola on the Lake CDP, New York",36,02220,2022,acs/acs5,2025-10-13T11:21:10.424920
744,368,376,,687,18,0,24,340,288,52,131500,768,53750,24467,85,295,271,220,51,20,24,0,239,0,207,"Antwerp village, New York",36,02286,2022,acs/acs5,2025-10-13T11:21:10.424933
2356,1168,1188,,2222,26,55,20,982,933,49,143300,876,76161,41222,284,1462,1462,1399,63,373,170,18,1363,0,1229,"Apalachin CDP, New York",36,02308,2022,acs/acs5,2025-10-13T11:21:10.424943
1937,859,1078,,1928,9,0,123,997,697,300,535200,3501,146142,47034,88,1188,1188,1167,21,384,38,0,1109,36,1058,"Aquebogue CDP, New York",36,02374,2022,acs/acs5,2025-10-13T11:21:10.424953
2095,1029,1066,,1946,2,40,14,1084,1042,42,146100,851,58900,38065,230,1190,1183,1118,65,144,137,0,1120,0,1082,"Arcade village, New York",36,02407,2022,acs/acs5,2025-10-13T11:21:10.424963
5013,2427,2586,,3404,250,671,404,1749,1679,70,800000,3501,243594,87646,87,2497,2497,2280,217,1080,916,148,2263,323,1719,"Ardsley village, New York",36,02506,2022,acs/acs5,2025-10-13T11:21:10.424973
366,173,193,,345,0,0,16,148,117,31,156500,820,52250,23026,69,127,127,127,0,25,28,0,124,0,111,"Argyle village, New York",36,02550,2022,acs/acs5,2025-10-13T11:21:10.424984
1041,419,622,,1030,3,0,0,443,415,28,116200,875,60139,30263,117,525,525,521,4,149,75,3,506,0,503,"Arkport village, New York",36,02583,2022,acs/acs5,2025-10-13T11:21:10.424993
2405,1288,1117,,980,590,202,483,1070,1018,52,260300,1496,77097,51044,200,1455,1455,1344,111,397,214,11,1282,0,1034,"Arlington CDP, New York",36,02616,2022,acs/acs5,2025-10-13T11:21:10.425003
4378,2262,2116,,3147,108,256,658,1560,1471,89,1006500,2425,234688,113310,140,2124,2124,2096,28,1247,727,78,2030,354,1541,"Armonk CDP, New York",36,02649,2022,acs/acs5,2025-10-13T11:21:10.425013
652,387,265,,608,0,16,8,340,281,59,1133000,3250,131250,90008,71,262,262,252,10,136,102,2,252,22,208,"Asharoken village, New York",36,02737,2022,acs/acs5,2025-10-13T11:21:10.425023
1821,881,940,,1548,24,184,238,920,725,195,266100,1175,79306,45844,182,1015,1015,965,50,207,210,25,880,25,791,"Athens village, New York",36,02902,2022,acs/acs5,2025-10-13T11:21:10.425034
1321,581,740,,1229,8,23,35,927,518,409,859600,2942,156795,87584,22,677,677,660,17,358,139,33,585,107,470,"Atlantic Beach village, New York",36,02968,2022,acs/acs5,2025-10-13T11:21:10.425044
2135,1053,1082,,1949,0,50,89,1068,959,109,130300,778,61311,36023,148,1062,1062,1015,47,185,108,16,1002,0,968,"Attica village, New York",36,03001,2022,acs/acs5,2025-10-13T11:21:10.425053
26674,13384,13290,,22091,1963,298,1144,13045,11544,1501,138000,844,48203,29387,4890,11751,11737,11038,699,2290,1149,160,10836,172,10467,"Auburn city, New York",36,03078,2022,acs/acs5,2025-10-13T11:21:10.425063
692,345,347,,599,23,5,96,196,140,56,261400,1279,81500,20768,28,410,410,407,3,47,59,28,379,13,323,"Aurora village, New York",36,03188,2022,acs/acs5,2025-10-13T11:21:10.425073
590,358,232,,576,0,0,3,248,218,30,141900,725,52065,32223,40,313,313,294,19,86,7,0,292,0,291,"Au Sable Forks CDP, New York",36,03254,2022,acs/acs5,2025-10-13T11:21:10.425082
1608,973,635,,1608,0,0,0,842,782,60,209600,1340,109746,58455,83,1008,1008,961,47,257,201,53,911,0,830,"Averill Park CDP, New York",36,03320,2022,acs/acs5,2025-10-13T11:21:10.425092
923,509,414,,897,1,1,19,429,365,64,84400,762,62232,27750,118,484,484,453,31,70,45,0,449,0,431,"Avoca village, New York",36,03331,2022,acs/acs5,2025-10-13T11:21:10.425102
3388,1660,1728,,3292,18,0,128,1552,1453,99,178400,1192,71958,38307,442,1735,1735,1682,53,526,288,20,1674,0,1561,"Avon village, New York",36,03353,2022,acs/acs5,2025-10-13T11:21:10.425111
12185,5864,6321,,10881,68,185,1196,4897,4676,221,586300,2370,136875,66333,290,7222,7222,6920,302,2583,1560,214,6843,584,5700,"Babylon village, New York",36,03408,2022,acs/acs5,2025-10-13T11:21:10.425138
1125,580,545,,1041,0,23,23,640,512,128,117900,680,47368,29624,164,555,555,514,41,106,119,6,474,0,438,"Bainbridge village, New York",36,04033,2022,acs/acs5,2025-10-13T11:21:10.425161
2899,1437,1462,,2536,130,179,77,1680,1172,508,498300,2200,108313,53844,52,1448,1448,1375,73,570,342,20,1363,79,1294,"Baiting Hollow CDP, New York",36,04055,2022,acs/acs5,2025-10-13T11:21:10.425175
33776,16730,17046,,12338,14393,1142,6809,11167,10823,344,523100,1876,132852,51365,1496,19378,19378,18539,839,5609,3077,414,18270,2619,16622,"Baldwin CDP, New York",36,04143,2022,acs/acs5,2025-10-13T11:21:10.425186
7746,3605,4141,,7205,112,72,122,3594,3465,129,173100,1181,78471,41616,839,4120,4053,3824,229,1341,704,67,3794,6,3361,"Baldwinsville village, New York",36,04198,2022,acs/acs5,2025-10-13T11:21:10.425197
5288,2507,2781,,4782,36,42,88,2477,2184,293,260700,1088,78136,43565,328,3146,3124,3045,79,904,343,29,3025,151,2594,"Ballston Spa village, New York",36,04253,2022,acs/acs5,2025-10-13T11:21:10.425208
3781,1958,1823,,1917,941,89,835,1310,1283,27,362400,1841,98646,42739,200,1932,1914,1807,107,487,276,43,1812,133,1617,"Balmville CDP, New York",36,04286,2022,acs/acs5,2025-10-13T11:21:10.425218
1312,509,803,,816,125,174,138,77,62,15,,,201038,13083,0,588,588,562,26,0,39,73,545,0,352,"Bard College CDP, New York",36,04388,2022,acs/acs5,2025-10-13T11:21:10.425229
3503,1648,1855,,2559,33,705,324,1444,1444,0,581400,472,131406,57632,271,1837,1837,1758,79,913,618,27,1738,100,1596,"Bardonia CDP, New York",36,04396,2022,acs/acs5,2025-10-13T11:21:10.425240
712,302,410,,534,0,4,43,277,239,38,123300,559,59375,22651,232,266,266,259,7,38,21,0,256,0,227,"Barker village, New York",36,04440,2022,acs/acs5,2025-10-13T11:21:10.425250
191,89,102,,191,0,0,0,84,67,17,,,73384,24887,0,60,59,59,0,44,2,0,60,0,60,"Barneveld CDP, New York",36,04528,2022,acs/acs5,2025-10-13T11:21:10.425260
2353,1267,1086,,1837,74,123,146,910,880,30,629200,2764,113203,50080,108,1210,1210,1180,30,536,166,26,1154,120,1017,"Barnum Island CDP, New York",36,04550,2022,acs/acs5,2025-10-13T11:21:10.425271
111,41,70,,98,5,0,4,56,56,0,300000,,78750,49964,6,49,49,41,8,10,10,0,41,0,41,"Barrytown CDP, New York",36,04605,2022,acs/acs5,2025-10-13T11:21:10.425280
314,120,194,,244,4,0,41,202,168,34,295800,854,,52830,27,154,154,143,11,53,42,10,143,0,98,"Barryville CDP, New York",36,04616,2022,acs/acs5,2025-10-13T11:21:10.425290
15510,7844,7666,,13177,756,202,859,7872,7370,502,127800,864,54937,34517,1991,7928,7928,7610,318,1367,1056,58,7398,20,7155,"Batavia city, New York",36,04715,2022,acs/acs5,2025-10-13T11:21:10.425300
5606,2560,3046,,5237,196,1,39,3010,2824,186,99300,711,42832,29133,1013,2565,2565,2389,176,370,341,0,2320,0,2088,"Bath village, New York",36,04759,2022,acs/acs5,2025-10-13T11:21:10.425310
1148,622,526,,814,11,126,240,482,445,37,1006400,2028,172292,91789,2,614,614,597,17,224,204,32,581,125,464,"Baxter Estates village, New York",36,04803,2022,acs/acs5,2025-10-13T11:21:10.425321
1389,556,833,,1297,0,22,109,593,593,0,483900,,100972,58236,57,666,666,622,44,199,89,0,622,77,564,"Bay Park CDP, New York",36,04891,2022,acs/acs5,2025-10-13T11:21:10.425331
8918,4374,4544,,7963,167,140,699,3430,3349,81,590700,2026,128369,62455,465,4899,4882,4788,94,1744,1252,161,4657,196,4167,"Bayport CDP, New York",36,04913,2022,acs/acs5,2025-10-13T11:21:10.425341
30553,15666,14887,,15992,4693,2737,10130,10130,9657,473,444800,1922,103272,43883,2205,15467,15457,14920,537,3179,2390,232,14601,1174,13548,"Bay Shore CDP, New York",36,04935,2022,acs/acs5,2025-10-13T11:21:10.425351
6763,3347,3416,,6317,24,34,334,2855,2656,199,653500,1958,136346,68882,290,3709,3709,3590,119,1322,985,81,3473,423,3186,"Bayville village, New York",36,05034,2022,acs/acs5,2025-10-13T11:21:10.425361
7185,3803,3382,,4230,895,166,3193,2058,1963,95,375300,2794,115592,40009,630,4046,4046,3792,254,790,412,9,3606,106,3427,"Baywood CDP, New York",36,05039,2022,acs/acs5,2025-10-13T11:21:10.425371
13876,6733,7143,,9478,2164,163,2794,6297,5815,482,391500,1605,96891,48985,1199,8063,8063,7787,276,2461,1768,179,7669,841,6369,"Beacon city, New York",36,05100,2022,acs/acs5,2025-10-13T11:21:10.425382
3296,1402,1894,,2967,61,0,583,1027,1027,0,375200,,113775,42392,154,1711,1711,1605,106,486,337,38,1519,44,1396,"Beaver Dam Lake CDP, New York",36,05188,2022,acs/acs5,2025-10-13T11:21:10.425392
2052,881,1171,,1856,6,50,103,792,692,100,1000700,,250001,107283,198,1007,1007,973,34,522,396,26,964,117,661,"Bedford CDP, New York",36,05309,2022,acs/acs5,2025-10-13T11:21:10.425403
2304,1058,1246,,1232,103,378,743,1037,962,75,469500,1986,84555,46040,298,1218,1218,1136,82,361,121,16,1087,43,904,"Bedford Hills CDP, New York",36,05342,2022,acs/acs5,2025-10-13T11:21:10.425412
654,321,333,,641,1,0,0,310,272,38,77600,556,57500,26071,74,348,348,333,15,40,37,7,325,0,315,"Belfast CDP, New York",36,05562,2022,acs/acs5,2025-10-13T11:21:10.425423
999,507,492,,731,35,67,193,355,322,33,827500,,204167,70307,13,421,421,395,26,284,108,7,392,101,336,"Bellerose village, New York",36,05639,2022,acs/acs5,2025-10-13T11:21:10.425432
2135,1132,1003,,375,77,1043,478,740,690,50,541400,1476,140893,36011,50,1264,1264,1118,146,358,111,0,1090,171,834,"Bellerose Terrace CDP, New York",36,05661,2022,acs/acs5,2025-10-13T11:21:10.425443
811,401,410,,699,50,20,39,317,298,19,1000000,,169500,123040,32,319,319,302,17,174,99,37,300,22,245,"Belle Terre village, New York",36,05672,2022,acs/acs5,2025-10-13T11:21:10.425453
289,146,143,,289,0,0,18,234,160,74,160000,900,83750,39315,42,119,113,113,0,16,68,0,119,0,119,"Belleville CDP, New York",36,05683,2022,acs/acs5,2025-10-13T11:21:10.425463
15937,7694,8243,,14322,173,521,1190,5420,5233,187,624800,1688,162798,62296,483,9115,9107,8847,260,3432,2204,138,8702,1252,7628,"Bellmore CDP, New York",36,05738,2022,acs/acs5,2025-10-13T11:21:10.425473
1844,957,887,,1682,8,12,68,1188,925,263,672600,2237,131719,92443,100,965,965,936,29,450,378,61,856,28,681,"Bellport village, New York",36,05771,2022,acs/acs5,2025-10-13T11:21:10.425482
865,432,433,,854,0,0,6,425,344,81,87000,613,57679,31618,167,373,373,367,6,71,57,0,360,0,341,"Belmont village, New York",36,05815,2022,acs/acs5,2025-10-13T11:21:10.425492
189,107,82,,174,4,0,0,229,97,132,350000,669,81750,76780,27,113,113,109,4,50,24,0,107,0,99,"Bemus Point village, New York",36,05848,2022,acs/acs5,2025-10-13T11:21:10.425501
1125,603,522,,1046,21,38,35,443,434,9,145700,826,84688,38124,153,651,647,636,11,138,87,19,618,1,575,"Bergen village, New York",36,06046,2022,acs/acs5,2025-10-13T11:21:10.425511
17281,8534,8747,,13646,53,2228,1723,6064,5994,70,574800,1976,128428,58428,714,9003,8977,8469,508,3216,1965,167,8146,822,7043,"Bethpage CDP, New York",36,06387,2022,acs/acs5,2025-10-13T11:21:10.425521
5842,3061,2781,,5541,16,217,120,2686,2686,0,210400,1485,92389,56239,210,2834,2834,2765,69,1173,832,159,2729,0,2421,"Big Flats CDP, New York",36,06464,2022,acs/acs5,2025-10-13T11:21:10.425531
1965,837,1128,,1859,14,0,0,991,892,99,290600,,76750,55235,111,1057,1057,938,119,484,157,30,919,5,820,"Billington Heights CDP, New York",36,06574,2022,acs/acs5,2025-10-13T11:21:10.425541
47617,22968,24649,,32710,6772,2561,4389,24795,20935,3860,117400,805,42031,30282,14735,23105,23086,20753,2333,4746,3270,515,19912,1729,18483,"Binghamton city, New York",36,06607,2022,acs/acs5,2025-10-13T11:21:10.425550
6405,3052,3353,,5364,83,848,325,0,0,0,,,,2714,0,1643,1643,1227,416,0,0,0,1160,69,860,"Binghamton University CDP, New York",36,06644,2022,acs/acs5,2025-10-13T11:21:10.425561
1660,816,844,,1455,0,116,33,799,754,45,209800,1146,80305,37442,250,923,775,605,170,287,105,0,738,0,707,"Black River village, New York",36,06794,2022,acs/acs5,2025-10-13T11:21:10.425570
2551,1263,1288,,2410,20,0,85,1383,1230,153,146400,762,58611,33062,385,1491,1491,1314,177,241,83,4,1283,17,1137,"Blasdell village, New York",36,06849,2022,acs/acs5,2025-10-13T11:21:10.425580
5154,2597,2557,,4209,116,244,406,1571,1520,51,602600,2288,171786,55473,312,2697,2697,2543,154,964,641,33,2535,138,2332,"Blauvelt CDP, New York",36,06860,2022,acs/acs5,2025-10-13T11:21:10.425590
445,225,220,,362,63,17,3,198,175,23,101800,696,51875,37711,120,184,184,182,2,15,9,0,182,0,169,"Bliss CDP, New York",36,06904,2022,acs/acs5,2025-10-13T11:21:10.425601
221,145,76,,208,0,0,17,99,67,32,,,59464,24236,15,152,152,139,13,0,20,17,139,0,139,"Blodgett Mills CDP, New York",36,06937,2022,acs/acs5,2025-10-13T11:21:10.425610
1362,631,731,,1303,12,2,5,646,593,53,167400,915,86809,42872,66,839,839,814,25,278,83,15,798,0,739,"Bloomfield village, New York",36,06945,2022,acs/acs5,2025-10-13T11:21:10.425623
962,473,489,,905,0,0,55,274,222,52,315500,1088,42500,10922,563,245,245,236,9,36,0,0,234,18,223,"Bloomingburg village, New York",36,06959,2022,acs/acs5,2025-10-13T11:21:10.425634
290,161,129,,290,0,0,0,142,91,51,114000,,78021,32130,0,219,219,192,27,56,31,0,192,0,192,"Bloomville CDP, New York",36,07025,2022,acs/acs5,2025-10-13T11:21:10.425644
4616,2109,2507,,4450,33,23,211,2093,1958,135,568000,2157,126818,58968,305,2586,2586,2368,218,883,691,63,2340,243,1974,"Blue Point CDP, New York",36,07069,2022,acs/acs5,2025-10-13T11:21:10.425653
9534,4857,4677,,8164,234,392,1047,3423,3273,150,458400,2350,116875,45621,756,5484,5484,5320,164,1648,654,159,5246,64,4915,"Bohemia CDP, New York",36,07157,2022,acs/acs5,2025-10-13T11:21:10.425663
1050,517,533,,1016,11,3,2,460,433,27,73300,695,50509,27265,140,469,469,440,29,126,65,0,436,0,385,"Bolivar village, New York",36,07190,2022,acs/acs5,2025-10-13T11:21:10.425673
325,174,151,,325,0,0,0,507,176,331,310500,,82679,55386,5,165,165,156,9,53,17,0,156,0,139,"Bolton Landing CDP, New York",36,07245,2022,acs/acs5,2025-10-13T11:21:10.425682
1912,805,1107,,1796,36,0,0,920,920,0,141800,554,39934,32149,382,892,883,812,71,192,68,0,815,16,724,"Boonville village, New York",36,07355,2022,acs/acs5,2025-10-13T11:21:10.425691
510,207,303,,499,11,0,0,261,256,5,89600,,28333,24191,66,185,185,185,0,20,24,0,185,0,185,"Brasher Falls CDP, New York",36,07960,2022,acs/acs5,2025-10-13T11:21:10.425701
864,455,409,,836,0,28,0,331,301,30,119300,,64665,28142,0,292,292,292,0,46,84,0,240,0,229,"Breesport CDP, New York",36,08004,2022,acs/acs5,2025-10-13T11:21:10.425711
65042,33017,32025,,23091,10277,1692,47416,15409,14795,614,416000,1660,111572,33702,4242,35784,35744,34093,1651,4607,2117,227,33308,1557,32271,"Brentwood CDP, New York",36,08026,2022,acs/acs5,2025-10-13T11:21:10.425724
4717,2327,2390,,4342,0,0,109,1944,1809,135,178900,806,69669,35253,1122,2168,2155,2017,138,487,282,74,2030,8,1837,"Brewerton CDP, New York",36,08059,2022,acs/acs5,2025-10-13T11:21:10.425734
2506,1563,943,,1116,60,21,1526,1063,988,75,355800,1541,55818,32537,431,1376,1376,1360,16,209,142,0,1348,167,1291,"Brewster village, New York",36,08070,2022,acs/acs5,2025-10-13T11:21:10.425744
1262,660,602,,1069,15,0,394,380,380,0,324600,,135536,46304,33,643,643,634,9,240,140,0,612,0,565,"Brewster Heights CDP, New York",36,08081,2022,acs/acs5,2025-10-13T11:21:10.425754
2568,1336,1232,,1640,0,397,699,1112,1029,83,371100,,89967,39288,258,1264,1264,1189,75,305,123,0,1178,40,1096,"Brewster Hill CDP, New York",36,08092,2022,acs/acs5,2025-10-13T11:21:10.425765
7395,3772,3623,,5738,114,541,700,2913,2709,204,826800,2066,208988,111008,461,3812,3812,3661,151,1846,1380,308,3585,746,2851,"Briarcliff Manor village, New York",36,08103,2022,acs/acs5,2025-10-13T11:21:10.425777
1418,748,670,,1132,177,61,269,2413,497,1916,2000001,,185521,92800,33,668,668,668,0,458,218,0,668,29,407,"Bridgehampton CDP, New York",36,08136,2022,acs/acs5,2025-10-13T11:21:10.425787
1551,724,827,,1382,7,34,18,605,576,29,109900,305,58491,23215,89,627,627,625,2,118,94,0,613,0,607,"Bridgeport CDP, New York",36,08147,2022,acs/acs5,2025-10-13T11:21:10.425797
112,66,46,,112,0,0,0,147,59,88,189600,,,49796,0,68,68,68,0,22,11,0,68,0,68,"Bridgeville CDP, New York",36,08158,2022,acs/acs5,2025-10-13T11:21:10.425808
537,293,244,,519,0,0,48,256,212,44,73300,680,34677,21061,154,211,211,205,6,1,10,0,204,0,204,"Bridgewater CDP, New York",36,08169,2022,acs/acs5,2025-10-13T11:21:10.425818
36819,17775,19044,,28490,2529,3544,1791,17057,15929,1128,236500,1195,78570,56430,3141,19721,19709,18850,859,7646,6055,1767,18691,294,15356,"Brighton CDP, New York",36,08257,2022,acs/acs5,2025-10-13T11:21:10.425827
3181,1572,1609,,2881,90,12,238,1020,1020,0,672200,1938,187581,66172,11,1657,1652,1601,51,709,405,10,1572,83,1281,"Brightwaters village, New York",36,08323,2022,acs/acs5,2025-10-13T11:21:10.425837
2519,1255,1264,,2305,17,38,284,1212,1212,0,345600,1382,84830,49331,189,1391,1391,1332,59,275,255,65,1293,39,1122,"Brinckerhoff CDP, New York",36,08334,2022,acs/acs5,2025-10-13T11:21:10.425846
1815,922,893,,1601,0,40,116,755,696,59,144000,893,81000,38868,109,1045,1033,985,48,141,62,62,962,10,927,"Broadalbin village, New York",36,08422,2022,acs/acs5,2025-10-13T11:21:10.425857
7192,3192,4000,,6009,650,213,447,2423,2144,279,127600,844,46468,23044,1097,4079,4079,3867,212,662,284,62,3687,48,3535,"Brockport village, New York",36,08466,2022,acs/acs5,2025-10-13T11:21:10.425866
1573,766,807,,1215,4,8,256,640,594,46,97900,701,47763,22249,400,597,597,561,36,157,56,14,556,0,537,"Brocton village, New York",36,08488,2022,acs/acs5,2025-10-13T11:21:10.425876
6570,3141,3429,,5579,39,443,480,2371,2157,214,1185700,3387,206850,137579,414,2874,2874,2774,100,1426,926,108,2676,1022,2121,"Bronxville village, New York",36,08532,2022,acs/acs5,2025-10-13T11:21:10.425888
3408,1697,1711,,2944,234,12,277,1204,1098,106,529300,1461,105481,46584,423,1668,1661,1483,178,419,342,41,1456,49,1281,"Brookhaven CDP, New York",36,09000,2022,acs/acs5,2025-10-13T11:21:10.425898
467,191,276,,467,0,0,0,248,182,66,442300,,88036,37659,0,291,291,291,0,69,185,0,291,0,263,"Brooktondale CDP, New York",36,10077,2022,acs/acs5,2025-10-13T11:21:10.425907
2988,1492,1496,,2102,158,506,270,826,764,62,2000001,,250001,157836,92,1539,1539,1452,87,473,289,40,1435,63,1172,"Brookville village, New York",36,10132,2022,acs/acs5,2025-10-13T11:21:10.425917
586,290,296,,573,4,0,11,341,274,67,166900,771,97794,45680,18,359,359,359,0,75,37,0,345,2,336,"Brownville village, New York",36,10231,2022,acs/acs5,2025-10-13T11:21:10.425927
564,257,307,,564,0,0,0,274,214,60,111800,755,52212,21264,122,293,293,250,43,20,34,0,222,9,222,"Brushton village, New York",36,10286,2022,acs/acs5,2025-10-13T11:21:10.425936
2272,1125,1147,,1569,129,109,416,841,787,54,461500,1577,133646,61404,84,1208,1208,1177,31,512,194,12,1146,90,1055,"Buchanan village, New York",36,10341,2022,acs/acs5,2025-10-13T11:21:10.425946
276688,133447,143241,,128773,91963,21106,34152,136421,118897,17524,132100,942,46184,29558,73066,133265,133080,123732,9348,30868,16705,3307,120181,10199,110712,"Buffalo city, New York",36,11000,2022,acs/acs5,2025-10-13T11:21:10.425956
413,216,197,,394,0,11,14,172,152,20,125000,1596,56250,31737,78,239,239,201,38,45,18,0,199,2,178,"Burdett village, New York",36,11132,2022,acs/acs5,2025-10-13T11:21:10.425969
199,75,124,,155,8,1,21,80,80,0,116700,575,85417,30390,17,77,77,77,0,20,6,3,75,0,72,"Burke village, New York",36,11154,2022,acs/acs5,2025-10-13T11:21:10.425980
