total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,place,year,dataset,fetched_date
350,181,169,,315,16,19,0,191,148,43,271400,,135333,62798,7,246,246,225,21,86,0,16,204,0,153,"Accord CDP, New York",36,00155,2022,acs/acs5,2025-10-13T11:21:10.424578
1923,934,989,,1768,38,0,140,880,770,110,179500,767,56818,29269,218,842,842,823,19,164,145,6,807,3,724,"Adams village, New York",36,00199,2022,acs/acs5,2025-10-13T11:21:10.424601
1022,513,509,,963,11,0,0,503,455,48,163400,,90089,40023,136,584,584,567,17,50,192,0,541,0,494,"Adams Center CDP, New York",36,00232,2022,acs/acs5,2025-10-13T11:21:10.424615
1841,986,855,,1792,23,0,0,758,683,75,92000,673,54271,25022,322,796,796,738,58,107,90,4,702,0,689,"Addison village, New York",36,00276,2022,acs/acs5,2025-10-13T11:21:10.424637
1159,523,636,,1150,2,0,26,501,441,60,99000,725,53646,26237,205,491,491,399,92,57,32,1,392,0,359,"Afton village, New York",36,00342,2022,acs/acs5,2025-10-13T11:21:10.424649
10020,4697,5323,,8140,595,206,1404,2809,2635,174,626400,1446,101612,38382,1268,3748,3748,3474,274,1126,758,63,3379,132,3034,"Airmont village, New York",36,00408,2022,acs/acs5,2025-10-13T11:21:10.424661
2911,1215,1696,,2768,30,10,38,1475,1392,83,182300,787,48289,41024,193,1343,1343,1218,125,370,197,9,1182,4,1040,"Akron village, New York",36,00441,2022,acs/acs5,2025-10-13T11:21:10.424672
4196,1933,2263,,767,6,206,1,1498,1485,13,195400,926,57969,23871,972,1612,1612,1428,184,477,124,41,1341,1,1320,"Akwesasne CDP, New York",36,00457,2022,acs/acs5,2025-10-13T11:21:10.424682
99692,47859,51833,,53502,27802,7122,9907,50378,43435,6943,213400,1130,54736,34195,21117,55431,55372,50931,4441,13837,8866,1799,49364,5728,43891,"Albany city, New York",36,01000,2022,acs/acs5,2025-10-13T11:21:10.424692
5095,2553,2542,,3195,38,1640,229,1848,1727,121,730300,2639,129563,62078,51,2814,2814,2730,84,1167,803,125,2730,456,2563,"Albertson CDP, New York",36,01011,2022,acs/acs5,2025-10-13T11:21:10.424702
5428,2770,2658,,4561,551,0,316,2898,2523,375,76000,819,41985,25134,972,2595,2595,2209,386,113,157,0,2160,0,1950,"Albion village, New York",36,01033,2022,acs/acs5,2025-10-13T11:21:10.424712
2606,1244,1362,,2557,7,26,31,1223,1152,71,185700,766,71985,37297,155,1533,1533,1434,99,361,150,11,1395,0,1335,"Alden village, New York",36,01088,2022,acs/acs5,2025-10-13T11:21:10.424722
507,250,257,,469,2,0,11,207,206,1,140400,730,81190,34752,61,297,297,282,15,44,30,0,275,0,264,"Alexander village, New York",36,01154,2022,acs/acs5,2025-10-13T11:21:10.424732
